client,Lobbyist,Quarterly return period
Beringea LLP,Newington Communications Limited,July to September 2017
Beringea LLP,Newington Communications Limited,October to December 2017
BOX,Newington Communications Limited,July to September 2015
British Association of Landscape Industries,Newington Communications Limited,April to June 2017
British Association of Landscape Industries,Newington Communications Limited,January to March 2015
British Association of Landscape Industries,Newington Communications Limited,July to September 2018
British Wind,Newington Communications Limited,April to June 2015
British Wind,Newington Communications Limited,July to September 2015
British Wind Partnerships,Newington Communications Limited,October to December 2015
Canary Wharf Group plc,Newington Communications Limited,July to September 2018
Canary Wharf Limited,Newington Communications Limited,July to September 2017
CIVEA,Newington Communications Limited,January to March 2017
Civil Enforcement Association (CIVEA),Newington Communications Limited,April to June 2017
Civil Enforcement Association (CIVEA),Newington Communications Limited,January to March 2016
Civil Enforcement Association (CIVEA),Newington Communications Limited,July to September 2017
County Councils Network,Newington Communications Limited,April to June 2015
Crisis Prevention Institute,Newington Communications Limited,July to September 2018
Crisis Prevention Institute (CPI),Newington Communications Limited,April to June 2015
Crisis Prevention Institute (CPI),Newington Communications Limited,April to June 2016
Crisis Prevention Institute (CPI),Newington Communications Limited,January to March 2015
Crisis Prevention Institute (CPI),Newington Communications Limited,July to September 2017
Crisis Prevention Institute (CPI),Newington Communications Limited,October to December 2016
Crisis Prevention Institute (CPI),Newington Communications Limited,October to December 2017
Downing LLP,Newington Communications Limited,July to September 2017
Downing LLP,Newington Communications Limited,October to December 2017
DPD Group UK Ltd,Newington Communications Limited,July to September 2018
DPD Group UK Ltd,Newington Communications Limited,October to December 2017
Electrical Safety First (ESF),Newington Communications Limited,January to March 2016
Element Power,Newington Communications Limited,January to March 2015
Element Power,Newington Communications Limited,July to September 2017
Enercon,Newington Communications Limited,July to September 2017
Enforcement Regulatory Group,Newington Communications Limited,April to June 2015
Equitable Members Action Group,Newington Communications Limited,January to March 2018
Equitable Members' Action Group,Newington Communications Limited,October to December 2017
ERG SpA,Newington Communications Limited,July to September 2017
ESB Energy International,Newington Communications Limited,October to December 2017
Falck Renewables,Newington Communications Limited,July to September 2017
Foresight Group LLP,Newington Communications Limited,July to September 2017
Foresight Group LLP,Newington Communications Limited,October to December 2017
Fred.Olsen Renewables,Newington Communications Limited,January to March 2015
Fred.Olsen Renewables,Newington Communications Limited,July to September 2017
Good Energy Ltd,Newington Communications Limited,January to March 2015
Horticultural Trades Association,Newington Communications Limited,April to June 2015
Horticultural Trades Association,Newington Communications Limited,April to June 2017
Horticultural Trades Association,Newington Communications Limited,January to March 2015
Horticultural Trades Association,Newington Communications Limited,January to March 2016
Horticultural Trades Association,Newington Communications Limited,January to March 2018
Horticultural Trades Association,Newington Communications Limited,July to September 2016
Horticultural Trades Association,Newington Communications Limited,July to September 2018
Horticultural Trades Association,Newington Communications Limited,October to December 2016
Independent Renewable Energy Generators Group,Newington Communications Limited,July to September 2018
Independent Renewable Energy Generators Group (IREGG),Newington Communications Limited,April to June 2015
Independent Renewable Energy Generators Group (IREGG),Newington Communications Limited,January to March 2016
Independent Renewable Energy Generators Group (IREGG),Newington Communications Limited,January to March 2017
Independent Renewable Energy Generators Group (IREGG),Newington Communications Limited,January to March 2018
Independent Renewable Energy Generators Group (IREGG),Newington Communications Limited,July to September 2015
Independent Renewable Energy Generators Group (IREGG),Newington Communications Limited,July to September 2016
Independent Renewable Energy Generators Group (IREGG),Newington Communications Limited,July to September 2017
Independent Renewable Energy Generators Group (IREGG),Newington Communications Limited,October to December 2015
Infinergy,Newington Communications Limited,January to March 2015
Infinis,Newington Communications Limited,January to March 2015
Irwin Mitchell LLP,Newington Communications Limited,January to March 2018
Irwin Mitchell LLP,Newington Communications Limited,July to September 2017
Just Eat,Newington Communications Limited,April to June 2017
Just Eat,Newington Communications Limited,April to June 2018
Just Eat,Newington Communications Limited,January to March 2017
Just Eat,Newington Communications Limited,October to December 2017
Liberata UK Ltd,Newington Communications Limited,April to June 2018
Liberata UK Ltd,Newington Communications Limited,January to March 2016
Liberata UK Ltd,Newington Communications Limited,January to March 2018
Liberata UK Ltd,Newington Communications Limited,July to September 2018
Licensed Taxi Drivers' Association (LTDA),Newington Communications Limited,April to June 2017
Licensed Taxi Drivers' Association (LTDA),Newington Communications Limited,January to March 2016
Licensed Taxi Drivers' Association (LTDA),Newington Communications Limited,January to March 2017
Licensed Taxi Drivers' Association (LTDA),Newington Communications Limited,July to September 2016
Licensed Taxi Drivers' Association (LTDA),Newington Communications Limited,July to September 2017
Licensed Taxi Drivers' Association (LTDA),Newington Communications Limited,October to December 2015
Livingbridge VC LLP,Newington Communications Limited,July to September 2017
Maven Capital Partners UK LLP,Newington Communications Limited,July to September 2017
Maven Capital Partners UK LLP,Newington Communications Limited,October to December 2017
Mears Group,Newington Communications Limited,April to June 2017
Mobeus Equity Partners LLP,Newington Communications Limited,July to September 2017
Mobeus Equity Partners LLP,Newington Communications Limited,October to December 2017
MVM Private Equity LLP,Newington Communications Limited,July to September 2017
National Accident Helpline,Newington Communications Limited,April to June 2015
National Accident Helpline,Newington Communications Limited,January to March 2018
National Accident Helpline,Newington Communications Limited,October to December 2015
Newable Ltd,Newington Communications Limited,April to June 2018
Newable Ltd,Newington Communications Limited,July to September 2017
Newable Ltd,Newington Communications Limited,October to December 2017
NVM Private Equity LLP,Newington Communications Limited,October to December 2017
Octopus Capital Ltd,Newington Communications Limited,January to March 2018
Octopus Capital Ltd,Newington Communications Limited,July to September 2018
Octopus Energy Ltd,Newington Communications Limited,April to June 2017
Octopus Energy Ltd,Newington Communications Limited,April to June 2018
Octopus Energy Ltd,Newington Communications Limited,January to March 2018
Octopus Energy Ltd,Newington Communications Limited,July to September 2017
Octopus Energy Ltd,Newington Communications Limited,October to December 2017
Octopus Investments,Newington Communications Limited,January to March 2017
Octopus Investments,Newington Communications Limited,July to September 2016
Octopus Investments,Newington Communications Limited,October to December 2017
Octopus Investments Ltd,Newington Communications Limited,July to September 2017
Parliamentary Group for Energy Studies,Newington Communications Limited,January to March 2015
Peel Management Ltd,Newington Communications Limited,July to September 2017
Peel Management Ltd,Newington Communications Limited,October to December 2017
Pup Aid,Newington Communications Limited,April to June 2016
Pup Aid,Newington Communications Limited,April to June 2018
Rail Delivery Group (RDG),Newington Communications Limited,January to March 2016
Rail Delivery Group (RDG),Newington Communications Limited,July to September 2017
Rail Delivery Group (RDG),Newington Communications Limited,October to December 2017
Renewable Energy Generation,Newington Communications Limited,January to March 2015
Renewable Energy Generation,Newington Communications Limited,July to September 2015
Renewable Energy Generation,Newington Communications Limited,July to September 2017
Renewable Energy Generation,Newington Communications Limited,October to December 2017
Renewable Energy Systems (RES),Newington Communications Limited,January to March 2015
Renewable Energy Systems (RES),Newington Communications Limited,January to March 2016
Renewable Energy Systems (RES),Newington Communications Limited,July to September 2017
Renewable Energy Systems (RES),Newington Communications Limited,October to December 2015
Royal Horticultural Society,Newington Communications Limited,April to June 2017
Royal Horticultural Society,Newington Communications Limited,January to March 2015
Royal Horticultural Society,Newington Communications Limited,July to September 2018
Scotts,Newington Communications Limited,January to March 2015
SGN,Newington Communications Limited,January to March 2018
SGN,Newington Communications Limited,July to September 2017
Swan Housing Association Limited,Newington Communications Limited,April to June 2016
The Builders Merchants Federation,Newington Communications Limited,January to March 2015
The Church Commissioners,Newington Communications Limited,July to September 2016
The Institute for Family Business,Newington Communications Limited,January to March 2017
The Institute for Family Business,Newington Communications Limited,July to September 2017
The Landscape Show,Newington Communications Limited,April to June 2017
The Landscape Show,Newington Communications Limited,January to March 2015
The Landscape Show,Newington Communications Limited,July to September 2018
The Langmead Group,Newington Communications Limited,July to September 2016
The Medical and Dental Defence Union of Scotland,Newington Communications Limited,January to March 2018
Tratos Ltd,Newington Communications Limited,April to June 2017
Tratos Ltd,Newington Communications Limited,April to June 2018
Tratos Ltd,Newington Communications Limited,January to March 2018
Venture Capital Trust Association,Newington Communications Limited,January to March 2018
Venture Capital Trust Association,Newington Communications Limited,July to September 2017
Venture Capital Trust Association,Newington Communications Limited,July to September 2018
Venture Capital Trust Association,Newington Communications Limited,October to December 2017
Visa Europe,Newington Communications Limited,April to June 2015
Visa Europe,Newington Communications Limited,July to September 2015
Vocational Training Charitable Trust (VTCT),Newington Communications Limited,April to June 2017
Vocational Training Charitable Trust (VTCT),Newington Communications Limited,April to June 2018
Volunteering Matters,Newington Communications Limited,January to March 2017
Volunteering Matters,Newington Communications Limited,October to December 2017
Wisley Property Investments Ltd,Newington Communications Limited,July to September 2016
Wisley Property Investments Ltd,Newington Communications Limited,October to December 2016
Wisley Property Investments Ltd,Newington Communications Limited,October to December 2017
YFM Private Equity Ltd,Newington Communications Limited,July to September 2017
YFM Private Equity Ltd,Newington Communications Limited,October to December 2017
FIA European Principal Traders Association (FIA EPTA),Norton Rose Fulbright LLP,January to March 2018
London Bullion Market Association (LBMA),Norton Rose Fulbright LLP,July to September 2018
London Precious Metals Clearing Limited (LPMCL),Norton Rose Fulbright LLP,July to September 2018
British American Tobacco,Nudge Factory Ltd,April to June 2018
British American Tobacco,Nudge Factory Ltd,July to September 2017
British American Tobacco,Nudge Factory Ltd,October to December 2017
Crisis UK,Nudge Factory Ltd,July to September 2016
Hammerson plc,Nudge Factory Ltd,July to September 2018
Inspired Asset Management,Nudge Factory Ltd,July to September 2016
PRS for Music,Nylon Consulting,April to June 2018
PRS for Music,Nylon Consulting,January to March 2018
PRS for Music,Nylon Consulting,July to September 2017
PRS for Music,Nylon Consulting,July to September 2018
PRS for Music,Nylon Consulting,October to December 2017
HPE,Oakhill Communications,January to March 2018
HPE,Oakhill Communications,July to September 2017
HPE,Oakhill Communications,October to December 2017
Inward Investor Roundtable,Oakhill Communications,July to September 2017
Inward Investor Roundtable,Oakhill Communications,October to December 2017
LACA Ltd,Oakhill Communications,October to December 2016
Ladbrokes,Oakhill Communications,January to March 2016
Liberty House,Oakhill Communications,July to September 2016
Liberty House,Oakhill Communications,October to December 2016
Royal National College for the Blind,Oakhill Communications,October to December 2015
AB InBev,Pagefield Communications Limited,January to March 2017
AB InBev,Pagefield Communications Limited,January to March 2018
Airbnb,Pagefield Communications Limited,April to June 2015
Airbnb,Pagefield Communications Limited,January to March 2015
Airbnb,Pagefield Communications Limited,January to March 2018
Airbnb,Pagefield Communications Limited,July to September 2015
Airbnb,Pagefield Communications Limited,July to September 2017
Airbnb,Pagefield Communications Limited,October to December 2015
Airbnb,Pagefield Communications Limited,October to December 2016
Avon,Pagefield Communications Limited,January to March 2017
Buttle UK,Pagefield Communications Limited,July to September 2016
Camelot,Pagefield Communications Limited,January to March 2015
CH2M Hill,Pagefield Communications Limited,January to March 2015
Community Channel,Pagefield Communications Limited,April to June 2016
Crop Protection Association,Pagefield Communications Limited,January to March 2018
Discovery,Pagefield Communications Limited,January to March 2015
Discovery,Pagefield Communications Limited,July to September 2016
Discovery,Pagefield Communications Limited,October to December 2016
Discovery Communications,Pagefield Communications Limited,January to March 2016
Ebico,Pagefield Communications Limited,October to December 2016
EEF,Pagefield Communications Limited,July to September 2018
Experian,Pagefield Communications Limited,January to March 2018
Experian,Pagefield Communications Limited,July to September 2017
Experian,Pagefield Communications Limited,October to December 2017
FirstPort,Pagefield Communications Limited,April to June 2015
FirstPort,Pagefield Communications Limited,January to March 2016
HS1,Pagefield Communications Limited,April to June 2018
HS1,Pagefield Communications Limited,January to March 2018
HS1,Pagefield Communications Limited,July to September 2018
HS1,Pagefield Communications Limited,October to December 2016
ITN,Pagefield Communications Limited,January to March 2015
Kellogg's,Pagefield Communications Limited,April to June 2016
Kellogg's,Pagefield Communications Limited,January to March 2015
Kellogg's,Pagefield Communications Limited,January to March 2016
Kellogg's,Pagefield Communications Limited,July to September 2015
Kellogg's,Pagefield Communications Limited,July to September 2016
Kellogg's,Pagefield Communications Limited,October to December 2015
Kellogg's,Pagefield Communications Limited,October to December 2016
Leidos,Pagefield Communications Limited,October to December 2017
Long Harbour,Pagefield Communications Limited,April to June 2018
Long Harbour,Pagefield Communications Limited,January to March 2018
Long Harbour,Pagefield Communications Limited,October to December 2017
Northern Gas Networks,Pagefield Communications Limited,July to September 2017
Northern Gas Networks,Pagefield Communications Limited,October to December 2016
RBLI,Pagefield Communications Limited,October to December 2016
Sime Darby,Pagefield Communications Limited,October to December 2016
The Advertising Association,Pagefield Communications Limited,July to September 2015
Then & Now Show,Pagefield Communications Limited,April to June 2016
Viacom,Pagefield Communications Limited,January to March 2015
Warwick University,Pagefield Communications Limited,July to September 2016
UAE (United Arab Emirates) Ministry of Foreign Affairs,Pallmall Communications Ltd,April to June 2016
UAE (United Arab Emirates) Ministry of Foreign Affairs,Pallmall Communications Ltd,April to June 2018
UAE (United Arab Emirates) Ministry of Foreign Affairs,Pallmall Communications Ltd,January to March 2016
UAE (United Arab Emirates) Ministry of Foreign Affairs,Pallmall Communications Ltd,January to March 2018
UAE (United Arab Emirates) Ministry of Foreign Affairs,Pallmall Communications Ltd,July to September 2015
UAE (United Arab Emirates) Ministry of Foreign Affairs,Pallmall Communications Ltd,July to September 2018
UAE (United Arab Emirates) Ministry of Foreign Affairs,Pallmall Communications Ltd,October to December 2015
UAE (United Arab Emirates) Ministry of Foreign Affairs,Pallmall Communications Ltd,October to December 2017
360 Degrees Media Limited,Panjandrum Communications Limited,April to June 2018
360 Degrees Media Limited,Panjandrum Communications Limited,January to March 2018
360 Degrees Media Limited,Panjandrum Communications Limited,July to September 2018
360 Degrees Media Limited,Panjandrum Communications Limited,October to December 2017
Santander UK,Panjandrum Communications Limited,July to September 2018
ABHI,PB Political Consulting,April to June 2018
Advamed,PB Political Consulting,January to March 2018
Advamed,PB Political Consulting,October to December 2017
Association of British Healthcare Industries (ABHI),PB Political Consulting,April to June 2017
Association of British Healthcare Industries (ABHI),PB Political Consulting,January to March 2017
Association of British Healthcare Industries (ABHI),PB Political Consulting,July to September 2015
Association of British Healthcare Industries (ABHI),PB Political Consulting,October to December 2016
Bard Limited,PB Political Consulting,October to December 2017
Bard Limited working on behalf of the All Party Parliamentary Group on Vascular Disease,PB Political Consulting,January to March 2017
Becton Dickinson,PB Political Consulting,January to March 2018
Becton Dickinson,PB Political Consulting,July to September 2017
Becton Dickinson working on behalf of the All-Party Parliamentary Group on Sepsis,PB Political Consulting,January to March 2017
Becton Dickinson working on behalf of the All-Party Parliamentary Group on Sepsis,PB Political Consulting,July to September 2015
Becton Dickinson working on behalf of the All-Party Parliamentary Group on Sepsis,PB Political Consulting,July to September 2016
Boston Scientific,PB Political Consulting,July to September 2015
Boston Scientific ? APPG Women?s Health,PB Political Consulting,October to December 2017
Boston Scientific working on behalf of the All Party Parliamentary Group on Vascular Disease,PB Political Consulting,January to March 2017
Boston Scientific working on behalf of the All-Party Parliamentary Group on Women?s Health,PB Political Consulting,January to March 2017
Boston Scientific working on behalf of the All-Party Parliamentary Group on Women?s Health,PB Political Consulting,January to March 2018
Brain Tumour Research,PB Political Consulting,July to September 2015
Brain Tumour Research,PB Political Consulting,October to December 2015
British Safety Industry Federation,PB Political Consulting,January to March 2015
British Safety Industry Federation,PB Political Consulting,July to September 2015
British Safety Industry Federation,PB Political Consulting,October to December 2015
C.R. Bard,PB Political Consulting,April to June 2017
C.R. Bard,PB Political Consulting,October to December 2015
Cerner working on behalf of the All-Party Parliamentary Group on Sepsis,PB Political Consulting,January to March 2017
Cerner working on behalf of the All-Party Parliamentary Group on Sepsis,PB Political Consulting,July to September 2015
Cerner working on behalf of the All-Party Parliamentary Group on Sepsis,PB Political Consulting,July to September 2016
Cerner working on behalf of the All-Party Parliamentary Group on Sepsis,PB Political Consulting,October to December 2016
College of Podiatry,PB Political Consulting,October to December 2017
Cook Medical,PB Political Consulting,January to March 2016
Cook Medical,PB Political Consulting,October to December 2015
Cook Medical working on behalf of the All Party Parliamentary Group on Vascular Disease,PB Political Consulting,January to March 2017
Edwards Life Sciences,PB Political Consulting,January to March 2018
Gedeon Richter ? APPG Women?s Health,PB Political Consulting,October to December 2017
Gedeon Richter working on behalf of the All-Party Parliamentary Group on Women?s Health,PB Political Consulting,January to March 2017
Gedeon Richter working on behalf of the All-Party Parliamentary Group on Women?s Health,PB Political Consulting,January to March 2018
Intuitive Surgical,PB Political Consulting,January to March 2015
Johnson & Johnson on behalf of the All Party Parliamentary Group on Obesity,PB Political Consulting,July to September 2018
Medical Technology Group,PB Political Consulting,July to September 2016
Medical Technology Group,PB Political Consulting,October to December 2015
Medical Technology Group,PB Political Consulting,October to December 2016
Medical Technology Group,PB Political Consulting,October to December 2017
Medtronic,PB Political Consulting,April to June 2017
Medtronic,PB Political Consulting,July to September 2015
Medtronic ? APPG Obesity,PB Political Consulting,October to December 2017
Medtronic on behalf of the All Party Parliamentary Group on Obesity,PB Political Consulting,July to September 2018
Medtronic working on behalf of the All Party Parliamentary Group on Vascular Disease,PB Political Consulting,January to March 2017
MSD,PB Political Consulting,January to March 2018
MTG,PB Political Consulting,April to June 2018
MTG,PB Political Consulting,July to September 2018
Novo Nordisk ? APPG Obesity,PB Political Consulting,October to December 2017
Novo Nordisk on behalf of the All Party Parliamentary Group on Obesity,PB Political Consulting,July to September 2018
Ottobock,PB Political Consulting,April to June 2015
Ottobock,PB Political Consulting,January to March 2015
Ottobock,PB Political Consulting,January to March 2016
Religious Education Council,PB Political Consulting,April to June 2016
Religious Education Council of England & Wales,PB Political Consulting,July to September 2015
Religious Education Council of England & Wales,PB Political Consulting,July to September 2018
Religious Education Council of England and Wales,PB Political Consulting,April to June 2015
Religious Education Council of England and Wales,PB Political Consulting,April to June 2018
Religious Education Council of England and Wales,PB Political Consulting,January to March 2016
Religious Education Council of England and Wales,PB Political Consulting,October to December 2015
Sepsis,PB Political Consulting,April to June 2018
UK Sepsis Trust,PB Political Consulting,January to March 2017
UK Sepsis Trust working on behalf of the All Party Parliamentary Group on Sepsis,PB Political Consulting,July to September 2015
UK Sepsis Trust working on behalf of the All Party Parliamentary Group on Sepsis,PB Political Consulting,July to September 2016
UK Sepsis Trust working on behalf of the All Party Parliamentary Group on Sepsis,PB Political Consulting,October to December 2016
VAPPG,PB Political Consulting,April to June 2018
38 Degrees,Pepper Shackleton Wellard Ltd,July to September 2017
38 Degrees,Pepper Shackleton Wellard Ltd,October to December 2016
38 Degrees,Pepper Shackleton Wellard Ltd,October to December 2017
AETN (A&E Television) Networks,Pepper Shackleton Wellard Ltd,January to March 2016
Association of Licensed Multiple Retailers,Pepper Shackleton Wellard Ltd,April to June 2017
Association of Licensed Multiple Retailers,Pepper Shackleton Wellard Ltd,January to March 2016
Association of Licensed Multiple Retailers,Pepper Shackleton Wellard Ltd,January to March 2017
Association of Licensed Multiple Retailers,Pepper Shackleton Wellard Ltd,January to March 2018
Association of Licensed Multiple Retailers,Pepper Shackleton Wellard Ltd,October to December 2015
Association of Licensed Multiple Retailers,Pepper Shackleton Wellard Ltd,October to December 2016
Audley Retirement,Pepper Shackleton Wellard Ltd,April to June 2018
Audley Retirement,Pepper Shackleton Wellard Ltd,January to March 2018
Audley Retirement,Pepper Shackleton Wellard Ltd,October to December 2017
British Beer and Pub Association (BBPA),Pepper Shackleton Wellard Ltd,April to June 2017
British Beer and Pub Association (BBPA),Pepper Shackleton Wellard Ltd,January to March 2017
Good Energy Ltd,Pepper Shackleton Wellard Ltd,January to March 2016
Good Energy Ltd,Pepper Shackleton Wellard Ltd,October to December 2015
Good Energy Ltd,Pepper Shackleton Wellard Ltd,October to December 2016
Houlder Ltd,Pepper Shackleton Wellard Ltd,April to June 2018
Houlder Ltd,Pepper Shackleton Wellard Ltd,January to March 2018
Houlder Ltd,Pepper Shackleton Wellard Ltd,July to September 2018
Liberty House,Pepper Shackleton Wellard Ltd,April to June 2016
Olswang,Pepper Shackleton Wellard Ltd,January to March 2016
Rosebowl plc/Hampshire County Cricket Club,Pepper Shackleton Wellard Ltd,January to March 2016
Rosebowl plc/Hampshire County Cricket Club,Pepper Shackleton Wellard Ltd,July to September 2017
Royal Pigeon Racing Association,Pepper Shackleton Wellard Ltd,January to March 2016
Royal Pigeon Racing Association,Pepper Shackleton Wellard Ltd,January to March 2018
Swansea Bay Tidal Lagoon Power Company Ltd,Pepper Shackleton Wellard Ltd,April to June 2016
Swansea Bay Tidal Lagoon Power Company Ltd,Pepper Shackleton Wellard Ltd,April to June 2017
Swansea Bay Tidal Lagoon Power Company Ltd,Pepper Shackleton Wellard Ltd,April to June 2018
Swansea Bay Tidal Lagoon Power Company Ltd,Pepper Shackleton Wellard Ltd,January to March 2016
Swansea Bay Tidal Lagoon Power Company Ltd,Pepper Shackleton Wellard Ltd,January to March 2017
Swansea Bay Tidal Lagoon Power Company Ltd,Pepper Shackleton Wellard Ltd,January to March 2018
Swansea Bay Tidal Lagoon Power Company Ltd,Pepper Shackleton Wellard Ltd,July to September 2016
Swansea Bay Tidal Lagoon Power Company Ltd,Pepper Shackleton Wellard Ltd,July to September 2017
Swansea Bay Tidal Lagoon Power Company Ltd,Pepper Shackleton Wellard Ltd,October to December 2016
Swansea Bay Tidal Lagoon Power Company Ltd,Pepper Shackleton Wellard Ltd,October to December 2017
Viagogo,Pepper Shackleton Wellard Ltd,July to September 2018
Warwick Energy Ltd,Pepper Shackleton Wellard Ltd,January to March 2016
Aids Healthcare Foundation,PHA Media,April to June 2018
Ann Summers Ltd,PHA Media,April to June 2016
Ann Summers Ltd,PHA Media,January to March 2016
Ann Summers Ltd,PHA Media,July to September 2016
Ann Summers Ltd,PHA Media,October to December 2016
APPG Frozen Pensions,PHA Media,April to June 2018
APPG Frozen Pensions,PHA Media,January to March 2018
Autorama UK Ltd,PHA Media,April to June 2016
EFiling,PHA Media,April to June 2018
EFiling,PHA Media,January to March 2018
EFiling,PHA Media,July to September 2018
eFiling,PHA Media,October to December 2017
FaceMatters,PHA Media,October to December 2017
Faith Matters,PHA Media,January to March 2018
GetMyFirstJob Ltd,PHA Media,January to March 2016
International Consortium of British Pensioners (ICBP),PHA Media,April to June 2015
International Consortium of British Pensioners (ICBP),PHA Media,April to June 2016
International Consortium of British Pensioners (ICBP),PHA Media,April to June 2017
International Consortium of British Pensioners (ICBP),PHA Media,April to June 2018
International Consortium of British Pensioners (ICBP),PHA Media,January to March 2015
International Consortium of British Pensioners (ICBP),PHA Media,January to March 2016
International Consortium of British Pensioners (ICBP),PHA Media,January to March 2017
International Consortium of British Pensioners (ICBP),PHA Media,January to March 2018
International Consortium of British Pensioners (ICBP),PHA Media,July to September 2015
International Consortium of British Pensioners (ICBP),PHA Media,July to September 2017
International Consortium of British Pensioners (ICBP),PHA Media,October to December 2015
International Consortium of British Pensioners (ICBP),PHA Media,October to December 2016
International Consortium of British Pensioners (ICBP),PHA Media,October to December 2017
Kennedy Scott Ltd,PHA Media,April to June 2015
Kennedy Scott Ltd,PHA Media,January to March 2015
Kennedy Scott Ltd,PHA Media,July to September 2015
Lions Gate International (UK) Ltd,PHA Media,April to June 2017
Lions Gate International (UK) Ltd,PHA Media,January to March 2017
Lions Gate International (UK) Ltd,PHA Media,January to March 2018
Lions Gate International (UK) Ltd,PHA Media,July to September 2016
Lions Gate International (UK) Ltd,PHA Media,July to September 2017
Lions Gate International (UK) Ltd,PHA Media,October to December 2017
Living and Dying Well,PHA Media,April to June 2015
Living and Dying Well,PHA Media,July to September 2015
MiddletonMurray Ltd,PHA Media,April to June 2016
MiddletonMurray Ltd,PHA Media,April to June 2017
MiddletonMurray Ltd,PHA Media,April to June 2018
MiddletonMurray Ltd,PHA Media,January to March 2017
MiddletonMurray Ltd,PHA Media,January to March 2018
MiddletonMurray Ltd,PHA Media,July to September 2016
MiddletonMurray Ltd,PHA Media,October to December 2016
MiddletonMurray Ltd,PHA Media,October to December 2017
Night Time Industries Association,PHA Media,April to June 2016
Night Time Industries Association,PHA Media,July to September 2016
Parentkind,PHA Media,April to June 2018
Parentkind,PHA Media,January to March 2018
PTA UK,PHA Media,October to December 2017
REED Specialist Recruitment Ltd,PHA Media,April to June 2017
Tell Mama,PHA Media,January to March 2018
The Loomba Foundation,PHA Media,July to September 2015
Vardags Limited,PHA Media,January to March 2017
Vardags Limited,PHA Media,January to March 2018
Vardags Limited,PHA Media,July to September 2017
Vardags Limited,PHA Media,October to December 2017
WOW: Championing Working Women (Ann Summers Ltd),PHA Media,April to June 2015
WOW: Championing Working Women (Ann Summers Ltd),PHA Media,July to September 2015
WOW: Championing Working Women (Ann Summers Ltd),PHA Media,October to December 2015
10:10,Policy Connect Ltd,April to June 2018
10:10,Policy Connect Ltd,January to March 2018
10:10,Policy Connect Ltd,July to September 2017
10:10,Policy Connect Ltd,July to September 2018
10:10,Policy Connect Ltd,October to December 2017
4R Group Ltd,Policy Connect Ltd,April to June 2018
4R Group Ltd,Policy Connect Ltd,January to March 2018
4R Group Ltd,Policy Connect Ltd,July to September 2017
4R Group Ltd,Policy Connect Ltd,July to September 2018
4R Group Ltd,Policy Connect Ltd,October to December 2017
Abbvie,Policy Connect Ltd,April to June 2018
Abbvie,Policy Connect Ltd,January to March 2018
AbbVie,Policy Connect Ltd,July to September 2017
Abbvie,Policy Connect Ltd,July to September 2018
AbbVie,Policy Connect Ltd,October to December 2017
AbilityNet,Policy Connect Ltd,April to June 2018
AbilityNet,Policy Connect Ltd,January to March 2018
AbilityNet,Policy Connect Ltd,July to September 2018
AbilityNet,Policy Connect Ltd,October to December 2017
Ace Centre,Policy Connect Ltd,April to June 2018
Ace Centre,Policy Connect Ltd,July to September 2018
ACM Environmental Plc,Policy Connect Ltd,April to June 2018
ACM Environmental Plc,Policy Connect Ltd,January to March 2018
ACM Environmental Plc,Policy Connect Ltd,July to September 2017
ACM Environmental Plc,Policy Connect Ltd,July to September 2018
ACM Environmental Plc,Policy Connect Ltd,October to December 2017
Advanced Personnel Management,Policy Connect Ltd,October to December 2017
Affinity Water,Policy Connect Ltd,April to June 2018
Affinity Water,Policy Connect Ltd,January to March 2018
Affinity Water,Policy Connect Ltd,October to December 2017
Aggregate Industries UK Ltd,Policy Connect Ltd,April to June 2018
Aggregate Industries UK Ltd,Policy Connect Ltd,January to March 2018
Aggregate Industries UK Ltd,Policy Connect Ltd,July to September 2017
Aggregate Industries UK Ltd,Policy Connect Ltd,July to September 2018
Aggregate Industries UK Ltd,Policy Connect Ltd,October to December 2017
AI-Media,Policy Connect Ltd,July to September 2018
Albion Water,Policy Connect Ltd,April to June 2018
Albion Water,Policy Connect Ltd,January to March 2018
Albion Water,Policy Connect Ltd,July to September 2017
Albion Water,Policy Connect Ltd,July to September 2018
Albion Water,Policy Connect Ltd,October to December 2017
Aldersgate Group,Policy Connect Ltd,April to June 2018
Aldersgate Group,Policy Connect Ltd,January to March 2018
Aldersgate Group,Policy Connect Ltd,July to September 2017
Aldersgate Group,Policy Connect Ltd,July to September 2018
Aldersgate Group,Policy Connect Ltd,October to December 2017
Alliance for Beverage Cartons and Environment (ACE UK),Policy Connect Ltd,July to September 2017
Alliance for Beverage Cartons and Environment (ACE UK),Policy Connect Ltd,October to December 2017
Altro,Policy Connect Ltd,April to June 2018
Altro,Policy Connect Ltd,January to March 2018
Altro,Policy Connect Ltd,July to September 2017
Altro,Policy Connect Ltd,October to December 2017
Amec Foster Wheeler,Policy Connect Ltd,April to June 2018
Amec Foster Wheeler,Policy Connect Ltd,January to March 2018
Amec Foster Wheeler,Policy Connect Ltd,July to September 2017
Amec Foster Wheeler,Policy Connect Ltd,July to September 2018
Amec Foster Wheeler,Policy Connect Ltd,October to December 2017
Amey,Policy Connect Ltd,April to June 2018
Amey,Policy Connect Ltd,January to March 2018
Amey,Policy Connect Ltd,July to September 2017
Amey,Policy Connect Ltd,July to September 2018
Amey,Policy Connect Ltd,October to December 2017
Anglian Water,Policy Connect Ltd,April to June 2018
Anglian Water,Policy Connect Ltd,January to March 2018
