client,Lobbyist,Quarterly return period
Marshall Wace,Boscobel & Partners Ltd,April to June 2017
Marshall Wace,Boscobel & Partners Ltd,October to December 2016
Prosperity UK,Boscobel & Partners Ltd,October to December 2017
Prosperity UK 2017 Limited,Boscobel & Partners Ltd,April to June 2017
Prosperity UK 2017 Limited,Boscobel & Partners Ltd,January to March 2017
Cisco,Brands2Life Limited,July to September 2015
Civica,Brands2Life Limited,July to September 2015
EMC Corporation,Brands2Life Limited,April to June 2015
EMC Corporation,Brands2Life Limited,January to March 2015
EMC Corporation,Brands2Life Limited,July to September 2015
EMC Corporation,Brands2Life Limited,October to December 2015
Match.com,Brands2Life Limited,July to September 2015
Nuance Communications,Brands2Life Limited,January to March 2016
Nuance Communications,Brands2Life Limited,July to September 2015
Nuance Communications,Brands2Life Limited,October to December 2015
Pivotal Software Inc.,Brands2Life Limited,July to September 2016
Sungard Availability Services,Brands2Life Limited,July to September 2015
Tetra Pak,Brands2Life Limited,April to June 2017
Tetra Pak,Brands2Life Limited,July to September 2017
uSwitch,Brands2Life Limited,April to June 2017
uSwitch,Brands2Life Limited,January to March 2017
uSwitch,Brands2Life Limited,January to March 2018
Verint,Brands2Life Limited,July to September 2015
VMware,Brands2Life Limited,July to September 2015
All Party Parliamentary Group for Funerals and Bereavement,Brevia Ltd,January to March 2018
British Furniture Confederation,Brevia Ltd,July to September 2016
ENGIE,Brevia Ltd,April to June 2016
ENGIE,Brevia Ltd,January to March 2016
First Utility,Brevia Ltd,January to March 2016
First Utility,Brevia Ltd,October to December 2015
National Association of Funeral Directors,Brevia Ltd,January to March 2018
National Association of Funeral Directors,Brevia Ltd,July to September 2018
TIGA,Brevia Ltd,January to March 2018
AkzoNobel N.V.,Brunswick Group LLP,April to June 2017
Cambridge Education Group (CEG),Brunswick Group LLP,April to June 2018
Cambridge Education Group (CEG),Brunswick Group LLP,July to September 2018
Intercontinental Exchange,Brunswick Group LLP,April to June 2017
Intercontinental Exchange,Brunswick Group LLP,July to September 2017
Intercontinental Exchange,Brunswick Group LLP,October to December 2017
INTO University Partnerships,Brunswick Group LLP,April to June 2018
INTO University Partnerships,Brunswick Group LLP,July to September 2018
J Sainsbury plc,Brunswick Group LLP,April to June 2018
Kaplan,Brunswick Group LLP,April to June 2018
Kaplan,Brunswick Group LLP,July to September 2018
Linklaters LLP,Brunswick Group LLP,April to June 2017
Navitas,Brunswick Group LLP,April to June 2018
Navitas,Brunswick Group LLP,July to September 2018
Prudential plc,Brunswick Group LLP,January to March 2018
Prudential plc,Brunswick Group LLP,July to September 2017
Prudential plc,Brunswick Group LLP,October to December 2017
Study Group,Brunswick Group LLP,April to June 2018
Study Group,Brunswick Group LLP,July to September 2018
Unlockd,Brunswick Group LLP,April to June 2018
Addax Petroleum UK,Burson Cohn & Wolfe,April to June 2016
Addax Petroleum UK,Burson Cohn & Wolfe,April to June 2017
Addax Petroleum UK,Burson Cohn & Wolfe,January to March 2016
Addax Petroleum UK,Burson Cohn & Wolfe,January to March 2017
Addax Petroleum UK,Burson Cohn & Wolfe,July to September 2015
Addax Petroleum UK,Burson Cohn & Wolfe,October to December 2015
Addax Petroleum UK,Burson Cohn & Wolfe,October to December 2016
Addison Lee,Burson Cohn & Wolfe,April to June 2017
Addison Lee,Burson Cohn & Wolfe,April to June 2018
Addison Lee,Burson Cohn & Wolfe,January to March 2016
Addison Lee,Burson Cohn & Wolfe,January to March 2017
Addison Lee,Burson Cohn & Wolfe,January to March 2018
Addison Lee,Burson Cohn & Wolfe,July to September 2015
Addison Lee,Burson Cohn & Wolfe,July to September 2017
Addison Lee,Burson Cohn & Wolfe,October to December 2015
Addison Lee,Burson Cohn & Wolfe,October to December 2016
Addison Lee,Burson Cohn & Wolfe,October to December 2017
Aldi,Burson Cohn & Wolfe,April to June 2016
Aldi,Burson Cohn & Wolfe,April to June 2017
Aldi,Burson Cohn & Wolfe,April to June 2018
Aldi,Burson Cohn & Wolfe,January to March 2015
Aldi,Burson Cohn & Wolfe,January to March 2017
Aldi,Burson Cohn & Wolfe,January to March 2018
Aldi,Burson Cohn & Wolfe,July to September 2015
Aldi,Burson Cohn & Wolfe,July to September 2016
Aldi,Burson Cohn & Wolfe,July to September 2017
Aldi,Burson Cohn & Wolfe,October to December 2015
Aldi,Burson Cohn & Wolfe,October to December 2016
Aldi,Burson Cohn & Wolfe,October to December 2017
Associated British Foods plc,Burson Cohn & Wolfe,July to September 2017
Attaqneyah Almotaqademah Oil Services,Burson Cohn & Wolfe,July to September 2015
BD Auto and Energy,Burson Cohn & Wolfe,April to June 2017
BD Auto and Energy,Burson Cohn & Wolfe,January to March 2017
BD Auto and Energy,Burson Cohn & Wolfe,July to September 2017
British Sugar plc,Burson Cohn & Wolfe,April to June 2017
British Sugar plc,Burson Cohn & Wolfe,April to June 2018
British Sugar plc,Burson Cohn & Wolfe,January to March 2017
British Sugar plc,Burson Cohn & Wolfe,January to March 2018
British Sugar plc,Burson Cohn & Wolfe,July to September 2017
British Sugar plc,Burson Cohn & Wolfe,October to December 2017
Bromine Science and Environmental Forum (BSEF),Burson Cohn & Wolfe,January to March 2015
"Charitable foundation for health, education, physical education and sports ?Top sport?",Burson Cohn & Wolfe,April to June 2016
Ennahdha (Tunisian Political Party),Burson Cohn & Wolfe,April to June 2015
Ennahdha (Tunisian Political Party),Burson Cohn & Wolfe,April to June 2017
Ennahdha (Tunisian Political Party),Burson Cohn & Wolfe,January to March 2015
Ennahdha (Tunisian Political Party),Burson Cohn & Wolfe,January to March 2017
