Payee,APPG,Benefit,Value,Date paid,Date registered
"National Alliance for Arts, Health and Wellbeing","All-Party Parliamentary Group on Arts, Health and Wellbeing","Secretariat
            •À_•À_
            From : 28/06/2018
            To  : 27/06/2019","6,001-7,500",28/06/18,20/08/18
London Stansted Cambridge Consortium,All-Party Parliamentary Group for the UK's Innovation Corridor,"Secretariat
            •À_•À_
            From : 28/03/2018
            To  : 27/03/2019","3,001-4,500",28/03/18,19/04/18
University of Hull,All-Party Parliamentary Group on Friends of the University of Hull,"Secretariat
            •À_•À_
            From : 28/03/2018
            To  : 27/03/2019","1,501-3,000",28/03/18,27/04/18
Marie Curie,All-Party Parliamentary Group for Terminal Illness,"Secretariat
            •À_•À_
            From : 28/02/2018
            To  : 27/02/2019","1,501-3,000",28/02/18,16/07/18
DevoConnect,Northern Powerhouse All-Party Parliamentary Group,"Secretariat
            •À_•À_
            From : 27/11/2017
            To  : 26/11/2018","19,501-21,000",27/11/17,29/11/17
Antisemitism Policy Trust,All-Party Parliamentary Group Against Antisemitism,"Secretariat
            •À_•À_
            From : 27/06/2018
            To  : 26/06/2019","34,501-36,000",27/06/18,18/07/18
Archives and Records Association of UK & Ireland,All-Party Parliamentary Group on Archives and History,"Secretariat
            •À_•À_
            From : 27/06/2018
            To  : 26/06/2019","4,501-6,000",27/06/18,11/09/18
CILIP,All-Party Parliamentary Group for Libraries,"Secretariat
            •À_•À_
            From : 27/06/2018
            To  : 26/06/2019","7,501-9,000",27/06/18,18/07/18
End Our Pain,All-Party Parliamentary Group on Medical Cannabis under Prescription,"Secretariat
            •À_•À_
            From : 27/06/2018
            To  : 26/06/2019","10,501-12,000",27/06/18,29/06/18
Wave Trust,All-Party Parliamentary Group for the Prevention of Adverse Childhood Experiences,"Secretariat
            •À_•À_
            From : 27/02/2018
            To  : 26/02/2019","9,001-10,500",27/02/18,26/03/18
Industrial Communities Alliance,"All-Party Parliamentary Group for Post-Brexit Funding for Nations, Regions and Local Areas","Secretariat
            •À_•À_
            From : 26/06/2018
            To  : 25/06/2019","4,501-6,000",26/06/18,05/07/18
Cifas,All-Party Parliamentary Group on Financial Crime and Scamming,"Secretariat
            •À_•À_
            From : 25/10/2017
            To  : 24/10/2018","7,501-9,000",25/10/17,16/11/17
Independent Workers Union of Great Britain,All-Party Parliamentary Group on Foster Care Work,"Secretariat
            •À_•À_
            From : 25/04/2018
            To  : 24/04/2019","6,001-7,500",25/04/18,23/05/18
ADHD Action,All-Party Parliamentary Group for Attention Deficit Hyperactive Disorder,"Secretariat
            •À_•À_
            From : 24/01/2018
            To  : 23/01/2019","4,501-6,000",24/01/18,31/01/18
British Red Cross,All-Party Parliamentary Group on Loneliness,"Secretariat
            •À_•À_
            From : 24/01/2018
            To  : 23/01/2019","1,501-3,000",24/01/18,20/02/18
Rape Crisis England and Wales,All-Party Parliamentary Group on Sexual Violence,"Secretariat
            •À_•À_
            From : 24/01/2018
            To  : 23/01/2019","6,001-7,500",24/01/18,13/02/18
Royal College of Speech and Language Therapists,All-Party Parliamentary Group on Speech and Language Difficulties,"Secretariat
            •À_•À_
            From : 24/01/2018
            To  : 23/01/2019","3,001-4,500",24/01/18,31/01/18
MR Sport,All-Party Parliamentary Group on Baseball,"Secretariat
            •À_•À_
            From : 23/05/2018
            To  : 22/05/2019","1,501-3,000",23/05/18,23/05/18
Weber Shandwick,All-Party Parliamentary Group on Key Cities,"Secretariat
            •À_•À_
            From : 23/04/2018
            To  : 22/04/2019","16,501-18,000",23/04/17,21/05/17
Policy Connect Ltd,All-Party Parliamentary Group for Assistive Technology,"Secretariat
            •À_•À_
            From : 22/06/2018
            To  : 21/06/2019","64,501-66,000",22/06/18,13/07/18
Action Radiotherapy,All-Party Parliamentary Group on Radiotherapy,"Secretariat
            •À_•À_
            From : 22/05/2018
            To  : 21/05/2019","4,501-6,000",22/05/18,25/05/18
Yoga Health Care Alliance,All-Party Parliamentary Group on Yoga in Society,"Secretariat
            •À_•À_
            From : 22/03/2018
            To  : 21/03/2019","4,501-6,000",22/03/18,03/04/18
Epilepsy Action,All-Party Parliamentary Group on Epilepsy,"Secretariat
            •À_•À_
            From : 21/11/2017
            To  : 20/11/2018","1,501-3,000",21/11/17,22/02/18
Barndoor Strategy,All-Party Parliamentary Group for Challenger Banks and Building Societies,"Secretariat
            •À_•À_
            From : 21/05/2018
            To  : 20/05/2019","3,001-4,500",21/05/18,12/06/18
UK Hospitality,All-Party Parliamentary Group for Hospitality,"Secretariat
            •À_•À_
            From : 21/03/2018
            To  : 20/03/2019","1,501-3,000",21/03/18,21/11/18
Dairy UK,All-Party Parliamentary Group on Dairy,"Secretariat
            •À_•À_
            From : 21/02/2018
            To  : 20/12/2019","1,501-3,000",21/02/18,21/02/18
PLMR,All-Party Parliamentary Group for Farming,"Secretariat
            •À_•À_
            From : 20/12/2017
            To  : 19/12/2018","9,001-10,500",20/12/17,11/01/18
Royal Television Society,Royal Television Society All-Party Parliamentary Group,"Secretariat
            •À_•À_
            From : 20/12/2017
            To  : 19/12/2018","1,501-3,000",20/12/17,11/01/17
Campaign for Safer Roadside Rescue and Recovery,All-Party Parliamentary Group for Roadside Rescue and Recovery,"Secretariat
            •À_•À_
            From : 20/05/2018
            To  : 19/05/2019","10,501-12,000",20/05/18,14/12/18
Royal Society for Public Health,All-Party Parliamentary Group on Social Media and Young People's Mental Health and Wellbeing,"Secretariat
            •À_•À_
            From : 20/03/2018
            To  : 19/03/2019","13,501-15,000",20/03/18,28/03/18
Ahmadiyya Muslim Community UK,All-Party Parliamentary Group for the Ahmadiyya Muslim Community,"Secretariat
            •À_•À_
            From : 19/07/2018
            To  : 18/07/2019","1,501-3,000",19/07/18,19/11/18
