name,purpose,mmname,position,party
All-Party Parliamentary Group for Entrepreneurship,"To encourage, support and promote entrepreneurship. It also ensures that Parliament is kept up-to-date on what is needed to create and sustain the most favourable conditions for entrepreneurship.",Rachel Maclean,Vice Chair,Conservative
All-Party Parliamentary Group for Entrepreneurship,"To encourage, support and promote entrepreneurship. It also ensures that Parliament is kept up-to-date on what is needed to create and sustain the most favourable conditions for entrepreneurship.",Colin Clark,Officer,Conservative
All-Party Parliamentary Group for Entrepreneurship,"To encourage, support and promote entrepreneurship. It also ensures that Parliament is kept up-to-date on what is needed to create and sustain the most favourable conditions for entrepreneurship.",Gillian Keegan,Officer,Conservative
All-Party Parliamentary Group for Entrepreneurship,"To encourage, support and promote entrepreneurship. It also ensures that Parliament is kept up-to-date on what is needed to create and sustain the most favourable conditions for entrepreneurship.",Darren Jones,Officer,Labour
All-Party Parliamentary Group for Entrepreneurship,"To encourage, support and promote entrepreneurship. It also ensures that Parliament is kept up-to-date on what is needed to create and sustain the most favourable conditions for entrepreneurship.",Wayne David,Officer,Labour
All-Party Parliamentary Group for Entrepreneurship,"To encourage, support and promote entrepreneurship. It also ensures that Parliament is kept up-to-date on what is needed to create and sustain the most favourable conditions for entrepreneurship.",Liam Byrne,Officer,Labour
All-Party Parliamentary Group for Entrepreneurship,"To encourage, support and promote entrepreneurship. It also ensures that Parliament is kept up-to-date on what is needed to create and sustain the most favourable conditions for entrepreneurship.",Lord Bilimoria,Officer,Crossbench
All-Party Parliamentary Group for Entrepreneurship,"To encourage, support and promote entrepreneurship. It also ensures that Parliament is kept up-to-date on what is needed to create and sustain the most favourable conditions for entrepreneurship.",Baroness Kramer,Officer,Liberal Democrat
All-Party Parliamentary Group for Entrepreneurship,"To encourage, support and promote entrepreneurship. It also ensures that Parliament is kept up-to-date on what is needed to create and sustain the most favourable conditions for entrepreneurship.",Lord Cromwell,Officer,Crossbench
All-Party Parliamentary Group for Entrepreneurship,"To encourage, support and promote entrepreneurship. It also ensures that Parliament is kept up-to-date on what is needed to create and sustain the most favourable conditions for entrepreneurship.",Baroness Neville-Jones,Officer,Conservative
All-Party Parliamentary Environment Group,To raise awareness of environmental issues in both Houses of Parliament.,Richard Benyon,Chair & Registered Contact,Conservative
All-Party Parliamentary Environment Group,To raise awareness of environmental issues in both Houses of Parliament.,Dr Alan Whitehead,Vice-Chair,Labour
All-Party Parliamentary Environment Group,To raise awareness of environmental issues in both Houses of Parliament.,Lord Barker of Battle,Vice-Chair,Conservative
All-Party Parliamentary Environment Group,To raise awareness of environmental issues in both Houses of Parliament.,Dame Cheryl Gillan,Vice-Chair,Conservative
All-Party Parliamentary Environment Group,To raise awareness of environmental issues in both Houses of Parliament.,Jack Dromey,Vice-Chair,Labour
All-Party Parliamentary Environment Group,To raise awareness of environmental issues in both Houses of Parliament.,Angela Smith,Vice-Chair,Labour
All-Party Parliamentary Environment Group,To raise awareness of environmental issues in both Houses of Parliament.,Lord Palmer,Vice-Chair,Crossbench
All-Party Parliamentary Environment Group,To raise awareness of environmental issues in both Houses of Parliament.,Dr Matthew Offord,Vice-Chair,Conservative
All-Party Parliamentary Environment Group,To raise awareness of environmental issues in both Houses of Parliament.,Ruth George,Vice-Chair,Labour
All-Party Parliamentary Environment Group,To raise awareness of environmental issues in both Houses of Parliament.,Lord Cameron of Dillington,Vice-Chair,Crossbench
All-Party Parliamentary Group on Epilepsy,To raise awareness of epilepsy among parliamentarians and to engage with individuals and organisations in supporting the promotion of the needs of the epilepsy community.,Paula Sherriff,Chair & Registered Contact,Labour
All-Party Parliamentary Group on Epilepsy,To raise awareness of epilepsy among parliamentarians and to engage with individuals and organisations in supporting the promotion of the needs of the epilepsy community.,Sir David Amess,Vice Chair,Conservative
All-Party Parliamentary Group on Epilepsy,To raise awareness of epilepsy among parliamentarians and to engage with individuals and organisations in supporting the promotion of the needs of the epilepsy community.,Dame Cheryl Gillan,Vice Chair,Conservative
All-Party Parliamentary Group on Epilepsy,To raise awareness of epilepsy among parliamentarians and to engage with individuals and organisations in supporting the promotion of the needs of the epilepsy community.,Baroness Hussein-Ece,Vice Chair,Liberal Democrat
All-Party Parliamentary Group on Epilepsy,To raise awareness of epilepsy among parliamentarians and to engage with individuals and organisations in supporting the promotion of the needs of the epilepsy community.,Valerie Vaz,Vice Chair,Labour
All-Party Parliamentary Group on Epilepsy,To raise awareness of epilepsy among parliamentarians and to engage with individuals and organisations in supporting the promotion of the needs of the epilepsy community.,Teresa Pearce,Secretary,Labour
All-Party Parliamentary Group on Epilepsy,To raise awareness of epilepsy among parliamentarians and to engage with individuals and organisations in supporting the promotion of the needs of the epilepsy community.,Andy McDonald,Treasurer,Labour
All-Party Parliamentary Group for Justice for Equitable Life Policyholders,To seek justice for Equitable Life policyholders.,Bob Blackman,Chair & Registered Contact,Conservative
All-Party Parliamentary Group for Justice for Equitable Life Policyholders,To seek justice for Equitable Life policyholders.,Fabian Hamilton,Co-Chair,Labour
All-Party Parliamentary Group for Justice for Equitable Life Policyholders,To seek justice for Equitable Life policyholders.,Sir Peter Bottomley,Vice Chair,Conservative
All-Party Parliamentary Group for Justice for Equitable Life Policyholders,To seek justice for Equitable Life policyholders.,Baroness Kramer,Vice Chair,Liberal Democrat
All-Party Parliamentary Group for Justice for Equitable Life Policyholders,To seek justice for Equitable Life policyholders.,Hywel Williams,Vice Chair,Plaid Cymru
All-Party Parliamentary Group for Justice for Equitable Life Policyholders,To seek justice for Equitable Life policyholders.,Mhairi Black,Vice Chair,Scottish National Party
All-Party Parliamentary Group for Justice for Equitable Life Policyholders,To seek justice for Equitable Life policyholders.,Jim Shannon,Vice Chair,Democratic Unionist Party
All-Party Parliamentary Group for Justice for Equitable Life Policyholders,To seek justice for Equitable Life policyholders.,Layla Moran,Secretary,Liberal Democrat
All-Party Parliamentary Group on Esports,To support esports.,Mr Edward Vaizey,Chair & Registered Contact,Conservative
All-Party Parliamentary Group on Esports,To support esports.,Alex Sobel,Vice Chair,Labour (Co-op)
All-Party Parliamentary Group on Esports,To support esports.,Gavin Newlands,Vice Chair,Scottish National Party
All-Party Parliamentary Group on Esports,To support esports.,Catherine West,Vice Chair,Labour
All-Party Parliamentary Group on EU Relations,To provide a forum for cross-party discussion on the UK's relationship with the European Union; to contribute to the debate around key issues in the UK-EU negotiations; and to make the case in public and in parliament for a close relationship with the European Union.,Chuka Umunna,Chair & Registered Contact,Labour
All-Party Parliamentary Group on EU Relations,To provide a forum for cross-party discussion on the UK's relationship with the European Union; to contribute to the debate around key issues in the UK-EU negotiations; and to make the case in public and in parliament for a close relationship with the European Union.,Anna Soubry,Co-Chair,Conservative
All-Party Parliamentary Group on EU Relations,To provide a forum for cross-party discussion on the UK's relationship with the European Union; to contribute to the debate around key issues in the UK-EU negotiations; and to make the case in public and in parliament for a close relationship with the European Union.,Caroline Lucas,Vice Chair,Green Party
All-Party Parliamentary Group on EU Relations,To provide a forum for cross-party discussion on the UK's relationship with the European Union; to contribute to the debate around key issues in the UK-EU negotiations; and to make the case in public and in parliament for a close relationship with the European Union.,Stephen Gethins,Vice Chair,Scottish National Party
All-Party Parliamentary Group on EU Relations,To provide a forum for cross-party discussion on the UK's relationship with the European Union; to contribute to the debate around key issues in the UK-EU negotiations; and to make the case in public and in parliament for a close relationship with the European Union.,Jo Swinson,Vice Chair,Liberal Democrat
All-Party Parliamentary Group on EU Relations,To provide a forum for cross-party discussion on the UK's relationship with the European Union; to contribute to the debate around key issues in the UK-EU negotiations; and to make the case in public and in parliament for a close relationship with the European Union.,Jonathan Edwards,Vice Chair,Plaid Cymru
All-Party Parliamentary Group on EU Relations,To provide a forum for cross-party discussion on the UK's relationship with the European Union; to contribute to the debate around key issues in the UK-EU negotiations; and to make the case in public and in parliament for a close relationship with the European Union.,Baroness Altmann,Vice Chair,Conservative
All-Party Parliamentary Group on EU Relations,To provide a forum for cross-party discussion on the UK's relationship with the European Union; to contribute to the debate around key issues in the UK-EU negotiations; and to make the case in public and in parliament for a close relationship with the European Union.,Lord Adonis,Vice Chair,Labour
All-Party Parliamentary Group on EU Relations,To provide a forum for cross-party discussion on the UK's relationship with the European Union; to contribute to the debate around key issues in the UK-EU negotiations; and to make the case in public and in parliament for a close relationship with the European Union.,Lord Kerr of Kinlochard,Vice Chair,Crossbench
All-Party Parliamentary Group on EU Relations,To provide a forum for cross-party discussion on the UK's relationship with the European Union; to contribute to the debate around key issues in the UK-EU negotiations; and to make the case in public and in parliament for a close relationship with the European Union.,Baroness Bowles of Berkhamsted,Vice Chair,Liberal Democrat
All-Party Parliamentary Group on EU Relations,To provide a forum for cross-party discussion on the UK's relationship with the European Union; to contribute to the debate around key issues in the UK-EU negotiations; and to make the case in public and in parliament for a close relationship with the European Union.,Lord Wigley,Vice Chair,Plaid Cymru
All-Party Parliamentary Group on European Citizenship Rights,"To provide a platform in Parliament for the better representation of EU27 citizens in the UK and Britons in Europe; and to promote informed debate about issues related to European citizenship and freedom of movement, and related rights and responsibilities.",Tom Brake,Chair & Registered Contact,Liberal Democrat
All-Party Parliamentary Group on European Citizenship Rights,"To provide a platform in Parliament for the better representation of EU27 citizens in the UK and Britons in Europe; and to promote informed debate about issues related to European citizenship and freedom of movement, and related rights and responsibilities.",Andy Slaughter,Vice Chair,Labour
All-Party Parliamentary Group on European Citizenship Rights,"To provide a platform in Parliament for the better representation of EU27 citizens in the UK and Britons in Europe; and to promote informed debate about issues related to European citizenship and freedom of movement, and related rights and responsibilities.",Caroline Lucas,Vice Chair,Green Party
All-Party Parliamentary Group on European Citizenship Rights,"To provide a platform in Parliament for the better representation of EU27 citizens in the UK and Britons in Europe; and to promote informed debate about issues related to European citizenship and freedom of movement, and related rights and responsibilities.",Sir Peter Bottomley,Vice Chair,Conservative
All-Party Parliamentary Group on European Citizenship Rights,"To provide a platform in Parliament for the better representation of EU27 citizens in the UK and Britons in Europe; and to promote informed debate about issues related to European citizenship and freedom of movement, and related rights and responsibilities.",Joanna Cherry,Officer,Scottish National Party
All-Party Parliamentary Group on European Citizenship Rights,"To provide a platform in Parliament for the better representation of EU27 citizens in the UK and Britons in Europe; and to promote informed debate about issues related to European citizenship and freedom of movement, and related rights and responsibilities.",Hywel Williams,Officer,Plaid Cymru
All-Party Parliamentary Group on European Citizenship Rights,"To provide a platform in Parliament for the better representation of EU27 citizens in the UK and Britons in Europe; and to promote informed debate about issues related to European citizenship and freedom of movement, and related rights and responsibilities.",Pete Wishart,Officer,Scottish National Party
All-Party Parliamentary Group on European Citizenship Rights,"To provide a platform in Parliament for the better representation of EU27 citizens in the UK and Britons in Europe; and to promote informed debate about issues related to European citizenship and freedom of movement, and related rights and responsibilities.",Baroness Smith of Newnham,Officer (Lords),Liberal Democrat
All-Party Parliamentary Group for the Events Industry,To engage with government and parliament to support the events industry sector.,James Heappey,Chair & Registered Contact,Conservative
All-Party Parliamentary Group for the Events Industry,To engage with government and parliament to support the events industry sector.,Christian Matheson,Vice-Chair,Labour
All-Party Parliamentary Group for the Events Industry,To engage with government and parliament to support the events industry sector.,Viscount Waverley,Vice-Chair,Crossbench
All-Party Parliamentary Group for the Events Industry,To engage with government and parliament to support the events industry sector.,Chris Davies,Vice-Chair,Conservative
All-Party Parliamentary Group for the Events Industry,To engage with government and parliament to support the events industry sector.,Lord Gilbert of Panteg,Vice-Chair,Conservative
The All-Party Parliamentary Group on Explosive Threats,"To consider the humanitarian consequences of explosive weapons and the benefits of mine action and Counter Improvised Explosive Device work. Through research and inquiry advocate for appropriate policy change, act as a focal point for debate and exchange of ideas, views and information.",Dr Matthew Offord,Chair & Registered Contact,Conservative
The All-Party Parliamentary Group on Explosive Threats,"To consider the humanitarian consequences of explosive weapons and the benefits of mine action and Counter Improvised Explosive Device work. Through research and inquiry advocate for appropriate policy change, act as a focal point for debate and exchange of ideas, views and information.",Lord Dear,Co-Chair,Crossbench
The All-Party Parliamentary Group on Explosive Threats,"To consider the humanitarian consequences of explosive weapons and the benefits of mine action and Counter Improvised Explosive Device work. Through research and inquiry advocate for appropriate policy change, act as a focal point for debate and exchange of ideas, views and information.",Lord Dubs,Officer,Labour
The All-Party Parliamentary Group on Explosive Threats,"To consider the humanitarian consequences of explosive weapons and the benefits of mine action and Counter Improvised Explosive Device work. Through research and inquiry advocate for appropriate policy change, act as a focal point for debate and exchange of ideas, views and information.",Chris Law,Officer,Scottish National Party
The All-Party Parliamentary Group on Explosive Threats,"To consider the humanitarian consequences of explosive weapons and the benefits of mine action and Counter Improvised Explosive Device work. Through research and inquiry advocate for appropriate policy change, act as a focal point for debate and exchange of ideas, views and information.",Dan Carden,Officer,Labour
All-Party Parliamentary Group on Extraordinary Rendition,"To examine extraordinary rendition and related issues, in response to allegations of British involvement in the extraordinary rendition programme.",Mr Kenneth Clarke,Chair & Registered Contact,Conservative
All-Party Parliamentary Group on Extraordinary Rendition,"To examine extraordinary rendition and related issues, in response to allegations of British involvement in the extraordinary rendition programme.",Lord Tyrie,Co-Chair,Non-affiliated
All-Party Parliamentary Group on Extraordinary Rendition,"To examine extraordinary rendition and related issues, in response to allegations of British involvement in the extraordinary rendition programme.",Lord Hodgson of Astley Abbotts,Treasurer,Conservative
All-Party Parliamentary Group on Extraordinary Rendition,"To examine extraordinary rendition and related issues, in response to allegations of British involvement in the extraordinary rendition programme.",Kelvin Hopkins,Vice Chair,Independent
All-Party Parliamentary Group on Extraordinary Rendition,"To examine extraordinary rendition and related issues, in response to allegations of British involvement in the extraordinary rendition programme.",Lord Tyler,Vice Chair,Liberal Democrat
All-Party Parliamentary Group on Extraordinary Rendition,"To examine extraordinary rendition and related issues, in response to allegations of British involvement in the extraordinary rendition programme.",Catherine West,Vice Chair,Labour
All-Party Parliamentary Group on Eye Health and Visual Impairment,"To inform and educate parliamentarians about the importance of high quality eye care for the prevention of eye disease, sight loss and blindness and for the eye health of the nation; and to promote better understanding of visual impairment and greater social inclusion.",Jim Shannon,Chair & Registered Contact,Democratic Unionist Party
All-Party Parliamentary Group on Eye Health and Visual Impairment,"To inform and educate parliamentarians about the importance of high quality eye care for the prevention of eye disease, sight loss and blindness and for the eye health of the nation; and to promote better understanding of visual impairment and greater social inclusion.",Lord Low of Dalston,Co-Chair,Crossbench
All-Party Parliamentary Group on Eye Health and Visual Impairment,"To inform and educate parliamentarians about the importance of high quality eye care for the prevention of eye disease, sight loss and blindness and for the eye health of the nation; and to promote better understanding of visual impairment and greater social inclusion.",Ian Austin,Officer,Labour
All-Party Parliamentary Group on Eye Health and Visual Impairment,"To inform and educate parliamentarians about the importance of high quality eye care for the prevention of eye disease, sight loss and blindness and for the eye health of the nation; and to promote better understanding of visual impairment and greater social inclusion.",Marsha De Cordova,Officer,Labour
All-Party Parliamentary Group on Eye Health and Visual Impairment,"To inform and educate parliamentarians about the importance of high quality eye care for the prevention of eye disease, sight loss and blindness and for the eye health of the nation; and to promote better understanding of visual impairment and greater social inclusion.",Dame Cheryl Gillan,Officer,Conservative
All-Party Parliamentary Group on Eye Health and Visual Impairment,"To inform and educate parliamentarians about the importance of high quality eye care for the prevention of eye disease, sight loss and blindness and for the eye health of the nation; and to promote better understanding of visual impairment and greater social inclusion.",Lord Blunkett,Officer,Labour
All-Party Parliamentary Group on Eye Health and Visual Impairment,"To inform and educate parliamentarians about the importance of high quality eye care for the prevention of eye disease, sight loss and blindness and for the eye health of the nation; and to promote better understanding of visual impairment and greater social inclusion.",Lord Holmes of Richmond,Officer,Conservative
All-Party Parliamentary Group on Fair Business Banking and Finance,To put forward policy recommendations to government that encourage a finance system that allows enterprise to flourish and business to thrive.,Kevin Hollinrake,Chair & Registered Contact,Conservative
All-Party Parliamentary Group on Fair Business Banking and Finance,To put forward policy recommendations to government that encourage a finance system that allows enterprise to flourish and business to thrive.,Norman Lamb,Co-Chair,Liberal Democrat
All-Party Parliamentary Group on Fair Business Banking and Finance,To put forward policy recommendations to government that encourage a finance system that allows enterprise to flourish and business to thrive.,Dr Lisa Cameron,Vice Chair,Scottish National Party
All-Party Parliamentary Group on Fair Business Banking and Finance,To put forward policy recommendations to government that encourage a finance system that allows enterprise to flourish and business to thrive.,Martin Whitfield,Vice Chair,Labour
All-Party Parliamentary Group on Fair Business Banking and Finance,To put forward policy recommendations to government that encourage a finance system that allows enterprise to flourish and business to thrive.,Sammy Wilson,Vice Chair,Democratic Unionist Party
All-Party Parliamentary Group on Fair Business Banking and Finance,To put forward policy recommendations to government that encourage a finance system that allows enterprise to flourish and business to thrive.,Stephen Kerr,Vice Chair,Conservative
All-Party Parliamentary Group on Fair Business Banking and Finance,To put forward policy recommendations to government that encourage a finance system that allows enterprise to flourish and business to thrive.,Luke Graham,Vice Chair,Conservative
All-Party Parliamentary Group on Fair Business Banking and Finance,To put forward policy recommendations to government that encourage a finance system that allows enterprise to flourish and business to thrive.,Lord Cromwell,Vice Chair,Crossbench
All-Party Parliamentary Group on Fair Business Banking and Finance,To put forward policy recommendations to government that encourage a finance system that allows enterprise to flourish and business to thrive.,The Earl of Lindsay,Vice Chair,Conservative
All-Party Parliamentary Group for Fair Fuel for UK Motorists and UK Hauliers,"To represent major issues that impact on UK drivers, from motorists to hauliers. Notably fuel taxation, congestion and toxic charges, parking costs, roads investment, fairer treatment for diesel owners, solutions to lower emissions, cleaner fuel incentives and transparent pricing at the fuel pumps.",Kirstene Hair,Chair & Registered Contact,Conservative
All-Party Parliamentary Group for Fair Fuel for UK Motorists and UK Hauliers,"To represent major issues that impact on UK drivers, from motorists to hauliers. Notably fuel taxation, congestion and toxic charges, parking costs, roads investment, fairer treatment for diesel owners, solutions to lower emissions, cleaner fuel incentives and transparent pricing at the fuel pumps.",Julian Knight,Vice Chair,Conservative
All-Party Parliamentary Group for Fair Fuel for UK Motorists and UK Hauliers,"To represent major issues that impact on UK drivers, from motorists to hauliers. Notably fuel taxation, congestion and toxic charges, parking costs, roads investment, fairer treatment for diesel owners, solutions to lower emissions, cleaner fuel incentives and transparent pricing at the fuel pumps.",Charlie Elphicke,Vice Chair,Conservative
All-Party Parliamentary Group for Fair Fuel for UK Motorists and UK Hauliers,"To represent major issues that impact on UK drivers, from motorists to hauliers. Notably fuel taxation, congestion and toxic charges, parking costs, roads investment, fairer treatment for diesel owners, solutions to lower emissions, cleaner fuel incentives and transparent pricing at the fuel pumps.",Robert Halfon,Vice Chair,Conservative
All-Party Parliamentary Group for Fair Fuel for UK Motorists and UK Hauliers,"To represent major issues that impact on UK drivers, from motorists to hauliers. Notably fuel taxation, congestion and toxic charges, parking costs, roads investment, fairer treatment for diesel owners, solutions to lower emissions, cleaner fuel incentives and transparent pricing at the fuel pumps.",Peter Aldous,Vice Chair,Conservative
All-Party Parliamentary Group for Fair Fuel for UK Motorists and UK Hauliers,"To represent major issues that impact on UK drivers, from motorists to hauliers. Notably fuel taxation, congestion and toxic charges, parking costs, roads investment, fairer treatment for diesel owners, solutions to lower emissions, cleaner fuel incentives and transparent pricing at the fuel pumps.",Martin Vickers,Vice Chair,Conservative
All-Party Parliamentary Group for Fair Fuel for UK Motorists and UK Hauliers,"To represent major issues that impact on UK drivers, from motorists to hauliers. Notably fuel taxation, congestion and toxic charges, parking costs, roads investment, fairer treatment for diesel owners, solutions to lower emissions, cleaner fuel incentives and transparent pricing at the fuel pumps.",Mary Glindon,Vice Chair,Labour
All-Party Parliamentary Group for Fair Fuel for UK Motorists and UK Hauliers,"To represent major issues that impact on UK drivers, from motorists to hauliers. Notably fuel taxation, congestion and toxic charges, parking costs, roads investment, fairer treatment for diesel owners, solutions to lower emissions, cleaner fuel incentives and transparent pricing at the fuel pumps.",Rosie Cooper,Vice Chair,Labour
All-Party Parliamentary Group for Fair Fuel for UK Motorists and UK Hauliers,"To represent major issues that impact on UK drivers, from motorists to hauliers. Notably fuel taxation, congestion and toxic charges, parking costs, roads investment, fairer treatment for diesel owners, solutions to lower emissions, cleaner fuel incentives and transparent pricing at the fuel pumps.",Martyn Day,Vice Chair,Scottish National Party
All-Party Parliamentary Group for Fair Fuel for UK Motorists and UK Hauliers,"To represent major issues that impact on UK drivers, from motorists to hauliers. Notably fuel taxation, congestion and toxic charges, parking costs, roads investment, fairer treatment for diesel owners, solutions to lower emissions, cleaner fuel incentives and transparent pricing at the fuel pumps.",Angus Brendan MacNeil,Vice Chair,Scottish National Party
All-Party Parliamentary Group for Fair Fuel for UK Motorists and UK Hauliers,"To represent major issues that impact on UK drivers, from motorists to hauliers. Notably fuel taxation, congestion and toxic charges, parking costs, roads investment, fairer treatment for diesel owners, solutions to lower emissions, cleaner fuel incentives and transparent pricing at the fuel pumps.",Ian Paisley,Vice Chair,Democratic Unionist Party
All-Party Parliamentary Group for Fair Fuel for UK Motorists and UK Hauliers,"To represent major issues that impact on UK drivers, from motorists to hauliers. Notably fuel taxation, congestion and toxic charges, parking costs, roads investment, fairer treatment for diesel owners, solutions to lower emissions, cleaner fuel incentives and transparent pricing at the fuel pumps.",Dr David Drew,Officer,Labour (Co-op)
All-Party Parliamentary Group for Fair Fuel for UK Motorists and UK Hauliers,"To represent major issues that impact on UK drivers, from motorists to hauliers. Notably fuel taxation, congestion and toxic charges, parking costs, roads investment, fairer treatment for diesel owners, solutions to lower emissions, cleaner fuel incentives and transparent pricing at the fuel pumps.",Gordon Henderson,Officer,Conservative
All-Party Parliamentary Group for Fair Fuel for UK Motorists and UK Hauliers,"To represent major issues that impact on UK drivers, from motorists to hauliers. Notably fuel taxation, congestion and toxic charges, parking costs, roads investment, fairer treatment for diesel owners, solutions to lower emissions, cleaner fuel incentives and transparent pricing at the fuel pumps.",Alan Brown,Officer,Scottish National Party
All-Party Parliamentary Group for Fairtrade,To promote Fairtrade within Parliament; to deepen the relationship between local Fairtrade organisations and parliamentarians and to further raise awareness of the importance of Fairtrade.,Will Quince,Chair & Registered Contact,Conservative
All-Party Parliamentary Group for Fairtrade,To promote Fairtrade within Parliament; to deepen the relationship between local Fairtrade organisations and parliamentarians and to further raise awareness of the importance of Fairtrade.,Holly Lynch,Co-Chair,Labour
All-Party Parliamentary Group for Fairtrade,To promote Fairtrade within Parliament; to deepen the relationship between local Fairtrade organisations and parliamentarians and to further raise awareness of the importance of Fairtrade.,Tracy Brabin,Vice Chair,Labour (Co-op)
All-Party Parliamentary Group for Fairtrade,To promote Fairtrade within Parliament; to deepen the relationship between local Fairtrade organisations and parliamentarians and to further raise awareness of the importance of Fairtrade.,Gareth Snell,Vice-Chair,Labour (Co-op)
All-Party Parliamentary Group for Fairtrade,To promote Fairtrade within Parliament; to deepen the relationship between local Fairtrade organisations and parliamentarians and to further raise awareness of the importance of Fairtrade.,Kirstene Hair,Vice Chair,Conservative
All-Party Parliamentary Group for Fairtrade,To promote Fairtrade within Parliament; to deepen the relationship between local Fairtrade organisations and parliamentarians and to further raise awareness of the importance of Fairtrade.,Stephen Doughty,Vice-Chair,Labour (Co-op)
All-Party Parliamentary Group on Faith and Society,"The APPG on Faith and Society aims to highlight the contribution to society by faith-based organisations, to identify best practice, and to promote understanding of the groups providing innovative solutions around the country.",Stephen Timms,Chair & Registered Contact,Labour
All-Party Parliamentary Group on Faith and Society,"The APPG on Faith and Society aims to highlight the contribution to society by faith-based organisations, to identify best practice, and to promote understanding of the groups providing innovative solutions around the country.",Fiona Bruce,Vice Chair,Conservative
All-Party Parliamentary Group on Faith and Society,"The APPG on Faith and Society aims to highlight the contribution to society by faith-based organisations, to identify best practice, and to promote understanding of the groups providing innovative solutions around the country.",Sir Gary Streeter,Vice Chair,Conservative
All-Party Parliamentary Group on Faith and Society,"The APPG on Faith and Society aims to highlight the contribution to society by faith-based organisations, to identify best practice, and to promote understanding of the groups providing innovative solutions around the country.",Baroness Neuberger,Vice Chair,Crossbench
All-Party Parliamentary Group on Faith and Society,"The APPG on Faith and Society aims to highlight the contribution to society by faith-based organisations, to identify best practice, and to promote understanding of the groups providing innovative solutions around the country.",Lord Singh of Wimbledon,Vice Chair,Crossbench
All-Party Parliamentary Group on Faith and Society,"The APPG on Faith and Society aims to highlight the contribution to society by faith-based organisations, to identify best practice, and to promote understanding of the groups providing innovative solutions around the country.",Mr David Lammy,Secretary,Labour
All-Party Parliamentary Group on Faith and Society,"The APPG on Faith and Society aims to highlight the contribution to society by faith-based organisations, to identify best practice, and to promote understanding of the groups providing innovative solutions around the country.",Steve Double,Treasurer,Conservative
All-Party Parliamentary Group on Families in the Early Years,"To promote best practice in the early years, and explore opportunities for policy change in supporting families with young children.",Lucy Powell,Chair & Registered Contact,Labour (Co-op)
All-Party Parliamentary Group on Families in the Early Years,"To promote best practice in the early years, and explore opportunities for policy change in supporting families with young children.",Tim Loughton,Officer,Conservative
All-Party Parliamentary Group on Families in the Early Years,"To promote best practice in the early years, and explore opportunities for policy change in supporting families with young children.",The Earl of Listowel,Officer,Crossbench
All-Party Parliamentary Group on Families in the Early Years,"To promote best practice in the early years, and explore opportunities for policy change in supporting families with young children.",The Lord Bishop of Durham,Officer,Bishops
All-Party Parliamentary Group on Families in the Early Years,"To promote best practice in the early years, and explore opportunities for policy change in supporting families with young children.",Ian Mearns,Officer,Labour
All-Party Parliamentary Group on Family Business,To promote and facilitate communication and understanding between the UK family business sector and members of both houses.,John Stevenson,Chair & Registered Contact,Conservative
All-Party Parliamentary Group on Family Business,To promote and facilitate communication and understanding between the UK family business sector and members of both houses.,Mary Glindon,Secretary,Labour
All-Party Parliamentary Group on Family Business,To promote and facilitate communication and understanding between the UK family business sector and members of both houses.,Lord Cotter,Vice Chair,Liberal Democrat
All-Party Parliamentary Group on Family Business,To promote and facilitate communication and understanding between the UK family business sector and members of both houses.,Julian Sturdy,Vice Chair,Conservative
All-Party Parliamentary Group on Family Business,To promote and facilitate communication and understanding between the UK family business sector and members of both houses.,Michelle Donelan,Vice Chair,Conservative
All-Party Parliamentary Group for Farming,To promote all aspects of farming and contribute to policy making as the industry prepares to leave the European Union.,Julian Sturdy,Chair & Registered Contact,Conservative
All-Party Parliamentary Group for Farming,To promote all aspects of farming and contribute to policy making as the industry prepares to leave the European Union.,Angela Smith,Vice Chair,Labour
All-Party Parliamentary Group for Farming,To promote all aspects of farming and contribute to policy making as the industry prepares to leave the European Union.,John Lamont,Vice Chair,Conservative
All-Party Parliamentary Group for Farming,To promote all aspects of farming and contribute to policy making as the industry prepares to leave the European Union.,The Earl of Lindsay,Vice Chair,Conservative
All-Party Parliamentary Group for Farming,To promote all aspects of farming and contribute to policy making as the industry prepares to leave the European Union.,Baroness Byford,Vice Chair,Conservative
All-Party Parliamentary Group for Farming,To promote all aspects of farming and contribute to policy making as the industry prepares to leave the European Union.,Douglas Ross,Vice Chair,Conservative
All-Party Parliamentary Group for Farming,To promote all aspects of farming and contribute to policy making as the industry prepares to leave the European Union.,Bill Wiggin,Treasurer,Conservative
All-Party Parliamentary Group for Farming,To promote all aspects of farming and contribute to policy making as the industry prepares to leave the European Union.,Kirstene Hair,Vice Chair,Conservative
All-Party Parliamentary Group for Farming,To promote all aspects of farming and contribute to policy making as the industry prepares to leave the European Union.,Andrew Bowie,Vice Chair,Conservative
All-Party Parliamentary Group on Fatherhood,To promote the wellbeing of children by ensuring that legal and policy frameworks keep up with the changing nature of family life and that legislation encourages active and responsible fatherhood.,Mr David Lammy,Chair & Registered Contact,Labour
All-Party Parliamentary Group on Fatherhood,To promote the wellbeing of children by ensuring that legal and policy frameworks keep up with the changing nature of family life and that legislation encourages active and responsible fatherhood.,Steve Double,Co-Chair,Conservative
All-Party Parliamentary Group on Fatherhood,To promote the wellbeing of children by ensuring that legal and policy frameworks keep up with the changing nature of family life and that legislation encourages active and responsible fatherhood.,David Linden,Vice Chair,Scottish National Party
