Payee,APPG,Benefit,Value,Date paid,Date registered
The Office of Public Affairs of the Bahá'í Community of the UK,All-Party Parliamentary Group on the Bahá'í Faith,"Secretariat
             
            From : 05/07/2017
            To  : 04/07/2018","4,501-6,000",05/07/2017,26/07/2017
MR Sport,All-Party Parliamentary Group on Baseball,"Secretariat
             
            From : 23/05/2018
            To  : 22/05/2019","1,501-3,000",23/05/2018,23/05/2018
Molson Coors Brewing Company UK,All-Party Parliamentary Beer Group,"5,840",05/02/2018,05/03/2018,NA
EI Group,All-Party Parliamentary Beer Group,"2,433",02/03/2018,09/04/2018,NA
Asahi UK,All-Party Parliamentary Beer Group,"2,810",06/04/2018,03/05/2018,NA
Heineken UK,All-Party Parliamentary Beer Group,"5,960",05/07/2018,09/08/2018,NA
EI Group,All-Party Parliamentary Beer Group,"1,986",20/07/2018,09/08/2018,NA
Diageo GB,All-Party Parliamentary Beer Group,"5,840",20/07/2018,09/08/2018,NA
Marstons PLC,All-Party Parliamentary Beer Group,"5,960",31/07/2018,09/08/2018,NA
INBEV UK,All-Party Parliamentary Beer Group,"5,960",03/08/2018,07/09/2018,NA
UK Hospitality,All-Party Parliamentary Beer Group,"2,000",16/10/2018,07/11/2018,NA
Society of Independent Brewers,All-Party Parliamentary Beer Group,"5,000",22/10/2018,07/11/2018,NA
Stonegate Pub Company,All-Party Parliamentary Beer Group,"5,960",31/10/2018,07/11/2018,NA
Greene King,All-Party Parliamentary Beer Group,"5,960",01/11/2018,08/11/2018,NA
EI Group,All-Party Parliamentary Beer Group,"3,973",23/11/2018,06/12/2018,NA
My Life My Say,All-Party Parliamentary Group on a Better Brexit for Young People,"Secretariat
             
            From : 18/07/2018
            To  : 17/07/2019","1,501-3,000",18/07/2018,23/07/2018
Political Lobbying and Media Relations,All-Party Parliamentary Group on Bingo,"Secretariat
             
            From : 11/09/2018
            To  : 10/09/2019","1,501-3,000",11/09/2018,01/10/2018
Big Innovation Centre,All-Party Parliamentary Group on Blockchain,"Big Innovation Centre is paid by CMS, SAP, Seal Software, Accord Projects, BSI, Accenture, IOTA and Oracle to act as the group's secretariat
             
            From : 22/01/2018
            To  : 21/01/2019","84,001-85,500",22/01/2018,12/07/2018
Bloodwise,All-Party Parliamentary Group on Blood Cancer,"Secretariat
             
            From : 03/07/2018
            To  : 02/07/2019","1,501-3,000",03/07/2018,21/09/2018
Tristan Fitzgerald Associates Ltd,All-Party Parliamentary Group for Boxing,"Secretariat
             
            From : 18/07/2018
            To  : 17/07/2019","48,001-49,500",18/07/2018,21/08/2018
Brain Tumour Research,All-Party Parliamentary Group on Brain Tumours,"Brain Tumour Research acts as the APPG's secretariat and pays PB Political to help it fulfil that role.  Brain Tumour Research is also assisted by Brain Tumour Charity for the same purpose.
             
            From : 10/07/2018
            To  : 09/07/2019","10,501-12,000",10/07/2018,14/08/2018
Breast Cancer Now,All-Party Parliamentary Group on Breast Cancer,"Secretariat
             
            From : 18/07/2018
            To  : 17/07/2019","7,501-9,000",18/07/2018,20/07/2018
British Council,British Council All-Party Parliamentary Group,"Secretariat
             
            From : 18/07/2018
            To  : 17/07/2019","27,001-28,500",18/07/2018,17/08/2018
Board of Deputies of British Jews,All-Party Parliamentary Group on British Jews,"Secretariat
             
            From : 18/07/2018
            To  : 17/07/2019","1,501-3,000",18/07/2018,20/09/2018
Aziz Foundation,All-Party Parliamentary Group on British Muslims,"21,373",21/02/2018,02/05/2018,NA
Aziz Foundation,All-Party Parliamentary Group on British Muslims,"20,000",29/05/2018,19/07/2018,NA
Aziz Foundation,All-Party Parliamentary Group on British Muslims,"18,623",30/10/2018,28/11/2018,NA
International Centre for Integration,All-Party Parliamentary Group on British Muslims,Reception,"4,501-6,000",07/06/2018,19/07/2018
Association for Consultancy and Engineering,All-Party Parliamentary Group on Building Communities,"Secretariat
             
            From : 18/06/2018
            To  : 17/06/2019","4,501-6,000",18/06/2018,04/07/2018
Sponsors' Alliance,All-Party Parliamentary Group for Business Support and Engagement,"Secretariat
             
            From : 10/01/2018
            To  : 09/01/2019","9,001-10,500",10/01/2018,25/01/2018
ICAEW,"All-Party Parliamentary Group on Business, Finance and Accountancy","Secretariat
             
            From : 14/09/2017
            To  : 13/09/2018","16,501-18,000",14/09/2017,14/09/2017
Merck Serono,All-Party Parliamentary Group on Cancer,"6,900",15/12/2017,31/01/2018,NA
Macmillan Cancer Support,All-Party Parliamentary Group on Cancer,"Secretariat
             
            From : 01/01/2018
            To  : 31/12/2018","39,001-40,500",01/01/2018,19/04/2018
Policy Connect,All-Party Parliamentary Carbon Monoxide Group,"Secretariat
             
            From : 05/09/2018
            To  : 04/09/2019","100,501-102,000",05/09/2018,20/11/2018
Carers UK,All-Party Parliamentary Group on Carers,"Secretariat
             
            From : 09/01/2018
            To  : 08/01/2019","3,001-4,500",09/01/2018,24/01/2018
Cats Protection,All-Party Parliamentary Group on Cats,"Secretariat
             
            From : 06/03/2018
            To  : 05/03/2019","1,501-3,000",06/03/2018,27/03/2018
Saffron Building Society,All-Party Parliamentary Group for Challenger Banks and Building Societies,"5,000",01/11/2018,21/12/2018,NA
Nottingham Building Society,All-Party Parliamentary Group for Challenger Banks and Building Societies,"2,500",12/11/2018,21/12/2018,NA
Building Societies Association,All-Party Parliamentary Group for Challenger Banks and Building Societies,"6,449",12/12/2018,21/12/2018,NA
Barndoor Strategy,All-Party Parliamentary Group for Challenger Banks and Building Societies,"Secretariat
             
            From : 21/05/2018
            To  : 20/05/2019","3,001-4,500",21/05/2018,12/06/2018
Channel 4,All-Party Parliamentary Channel 4 Group,"Secretariat
             
            From : 06/09/2018
            To  : 05/09/2019","1,501-3,000",06/09/2018,12/11/2018
National Council for Voluntary Organisations,All-Party Parliamentary Group on Charities and Volunteering,Reception held on 13/12/2017,"3,001-4,500",13/12/2017,04/04/2018
Bates Wells Braithwaite,All-Party Parliamentary Group on Charities and Volunteering,Reception held on 12/12/2018,"1,501-3,000",12/12/2018,14/12/2018
NCVO,All-Party Parliamentary Group on Charities and Volunteering,Reception held on 12/12/2018,"3,001-4,500",12/12/2018,14/12/2018
National Council for Voluntary Organisations,All-Party Parliamentary Group on Charities and Volunteering,"Secretariat
             
            From : 12/09/2018
            To  : 11/09/2018","3,001-4,500",12/09/2018,17/12/2018
Connect PA,All-Party Parliamentary Group on Childcare and Early Education,"Connect is paid by the following to act as the group's secretariat: The Foundation Stage Forum, Tops Day Nurseries (Hadland Care Group), Pre School Learning Alliance, National Day Nurseries, Cache.
             
            From : 05/09/2018
            To  : 04/09/2019","19,501-21,000",05/09/2018,23/11/2018
National Children's Bureau,All-Party Parliamentary Group for Children,"Secretariat
             
            From : 05/07/2018
            To  : 04/07/2019","42,001-43,500",05/07/2018,19/10/2018
Children in Wales,All-Party Parliamentary Group on Children in Wales,"Secretariat
             
            From : 13/09/2018
            To  : 12/09/2019","1,501-3,000",13/09/2018,18/09/2018
Together for Short Lives,All-Party Parliamentary Group for Children who need Palliative Care,"Secretariat
             
            From : 18/07/2018
            To  : 17/07/2019","21,001-22,500",18/07/2018,12/11/2018
CLIC Sargent,"All-Party Parliamentary Group on Children, Teenagers, and Young Adults with Cancer","Joint Secretariat
             
            From : 11/10/2018
            To  : 10/10/2019","1,501-3,000",11/10/2018,17/12/2018
Teenage Cancer Trust,"All-Party Parliamentary Group on Children, Teenagers, and Young Adults with Cancer","Joint Secretariat
             
            From : 11/10/2018
            To  : 10/10/2019","1,501-3,000",11/10/2018,17/12/2018
British Chinese Project,All-Party Parliamentary Chinese in Britain Group,"Secretariat
             
            From : 13/09/2017
            To  : 12/09/2018","3,001-4,500",13/09/2017,13/09/2017
Bible Society,All-Party Parliamentary Group on Christians in Parliament,"Administrative assistance and event support
             
            From : 01/07/2018
            To  : 30/06/2019","36,001-37,500",01/07/2018,03/08/2017
Parliamentary Christian Trust,All-Party Parliamentary Group on Christians in Parliament,"Administrative assistance and event support
             
            From : 01/07/2018
            To  : 30/06/2019","76,501-78,000",01/07/2018,03/08/2017
National Association of Cider Makers,All-Party Parliamentary Cider Group,Reception,"6,001-7,500",11/09/2018,12/10/2018
Urban Transport Group,All-Party Parliamentary City Regions Transport Group,"Secretariat
             
            From : 31/01/2018
            To  : 30/01/2019","1,501-3,000",31/01/2018,05/02/2018
Association of British Orchestras,All-Party Parliamentary Group on Classical Music,"Secretariat
             
            From : 12/07/2018
            To  : 11/07/2019","1,501-3,000",12/07/2018,27/06/2018
Policy Connect,All-Party Parliamentary Climate Change Group,"Secretariat
             
            From : 04/07/2018
            To  : 03/07/2019","12,001-13,500",04/07/2018,27/06/2017
The Royal Commonwealth Society,All-Party Parliamentary Group for the Commonwealth,"Secretariat
             
            From : 06/07/2017
            To  : 05/07/2018","1,501-3,000",06/07/2017,20/07/2017
Parent Infant Partnership UK,All-Party Parliamentary Group for Conception to Age Two - First 1001 Days,"Secretariat
             
            From : 09/10/2017
            To  : 08/10/2018","1,501-3,000",09/10/2017,06/11/2017
Absorbent Hygiene Products Manufacturers Association,All-Party Parliamentary Group for Continence Care,"Secretariat
             
            From : 05/07/2018
            To  : 04/07/2019","6,001-7,500",05/07/2018,13/11/2018
National Grid plc,All-Party Parliamentary Corporate Responsibility Group,"2,143",18/01/2018,18/01/2018,NA
Joseph Rowntree Charitable Trust (3 year grant being paid in quarterly instalments from 11/07/2018 to 07/04/2021),All-Party Parliamentary Group on Anti-Corruption,"32,500",11/07/2018,12/08/2018,NA
County Councils Network,County All-Party Parliamentary Group,"Secretariat
             
            From : 13/09/2017
            To  : 12/09/2018","3,001-4,500",13/09/2017,13/09/2017
