Payee,APPG,Benefit,Value,Date paid,Date registered
Consortium for Street Children,All-Party Parliamentary Group on Street Children,"Secretariat
             
            From : 18/07/2018
            To  : 17/07/2019","4,501-6,000",18/07/2018,16/11/2018
National Union of Students,All-Party Parliamentary Group on Students,"Secretariat
             
            From : 11/07/2018
            To  : 10/07/2019","4,501-6,000",11/07/2018,01/11/2018
Samaritans,All-Party Parliamentary Group on Suicide and Self-Harm Prevention,"Secretariat
             
            From : 12/07/2018
            To  : 11/07/2019","1,501-3,000",12/07/2018,31/07/2018
Policy Connect,All-Party Parliamentary Sustainable Resource Group,"Secretariat
             
            From : 11/09/2018
            To  : 10/09/2019","63,001-64,500",11/09/2018,11/09/2018
Swim England,All-Party Parliamentary Group on Swimming,"Secretariat
             
            From : 06/09/2017
            To  : 05/09/2018","3,001-4,500",06/09/2017,12/09/2017
British Tamil Forum,All-Party Parliamentary Group for Tamils,"Secretariat
             
            From : 18/07/2018
            To  : 17/07/2019","1,501-3,000",18/07/2018,20/09/2018
Tristan Fitzgerald Associates Ltd,All-Party Parliamentary Group on Taxation,"Secretariat
             
            From : 12/07/2018
            To  : 11/07/2019","16,501-18,000",12/07/2018,19/07/2018
Newington Communications,All-Party Parliamentary Group on Taxis,"Secretariat
             
            From : 05/09/2018
            To  : 04/09/2019","34,501-36,000",05/09/2018,20/09/2018
Marie Curie,All-Party Parliamentary Group for Terminal Illness,"Secretariat
             
            From : 28/02/2018
            To  : 27/02/2019","1,501-3,000",28/02/2018,16/07/2018
UK Defence Forum,All-Party Parliamentary Group on Tackling Terrorism,Briefing dinner held on 05/06/2018,"1,501-3,000",05/06/2018,06/06/2018
Four Public Affairs,All-Party Parliamentary Thrombosis Group,"AntiCoagulation UK pays Four Public Affairs to act as the group's secretariat from grants received from the Pfizer-BMS Alliance and Bayer
             
            From : 01/01/2018
            To  : 31/12/2018","21,001-22,500",01/01/2018,24/07/2018
Keep Britain Tidy,Tidy Britain All-Party Parliamentary Group,"Secretariat
             
            From : 10/07/2018
            To  : 09/07/2019","6,001-7,500",10/07/2018,20/07/2018
Parliamentary Advisory Council for Transport Safety (the charity PACTS),All-Party Parliamentary Group for Transport Safety,"Secretariat
             
            From : 01/04/2018
            To  : 31/03/2019","4,501-6,000",01/04/2018,25/07/2018
Results UK,All-Party Parliamentary Group on Global Tuberculosis,"Secretariat
             
            From : 11/09/2018
            To  : 10/09/2019","12,001-13,500",11/09/2018,13/09/2018
United Nations Association - UK,United Nations All-Party Parliamentary Group,"Secretariat
             
            From : 13/07/2018
            To  : 12/07/2019","3,001-4,500",13/07/2018,16/07/2018
Bond,All-Party Parliamentary Group on the United Nations Global Goals for Sustainable Development,"Secretariat
             
            From : 28/06/2018
            To  : 27/06/2019","1,501-3,000",28/06/2018,16/10/2018
University of Hull,All-Party Parliamentary Group on Friends of the University of Hull,"Secretariat
             
            From : 28/03/2018
            To  : 27/03/2019","1,501-3,000",28/03/2018,27/04/2018
RESULTS UK,All-Party Parliamentary Group on Vaccinations for All,"Secretariat
             
            From : 13/09/2018
            To  : 12/09/2019","6,001-7,500",13/09/2018,19/10/2018
UK Vaping Industry Association,All-Party Parliamentary Group for Vaping,"Secretariat
             
            From : 11/07/2018
            To  : 10/07/2019","12,001-13,500",11/07/2018,18/10/2018
PB Consulting,Vascular and Venous Disease All-Party Parliamentary Group,"PB Consulting is paid by Medtronic Ltd, Becton Dickinson, Boston Scientific, Terumo Corporation, and Cook Medical to act as the group's secretariat.
             
            From : 11/07/2018
            To  : 10/07/2019","49,501-51,000",11/07/2018,25/10/2018
National Council for Voluntary Organisations,All-Party Parliamentary Group on Vegetarianism and Veganism,"NCVO is paid by Vegan Society, Vegetarian Society, and Vegetarian For Life to act as the group's secretariat
             
            From : 17/07/2018
            To  : 16/07/2019","4,501-6,000",17/07/2018,20/09/2018
UK Interactive Entertainment,All-Party Parliamentary Group on Video Games and Esports,"Secretariat
             
            From : 06/09/2018
            To  : 05/09/2019","3,001-4,500",06/09/2018,14/11/2018
Garden Court Chambers,All-Party Parliamentary Group on Visas and Immigration,"Secretariat
             
            From : 17/07/2018
            To  : 16/07/2019","1,501-3,000",17/07/2018,13/11/2018
Connect,All-Party Parliamentary Water Group,"Connect is paid by the following to act as the group's secretariat: Wessex Water, Plastic Pipes Group, Affinity Water, Major Energy User Council, Water UK, and WWF.
             
            From : 27/06/2018
            To  : 26/06/2019","21,001-22,500",27/06/2018,08/10/2018
Brevia Consulting,All-Party Parliamentary Group on Water Safety and Drowning Prevention,"Royal Life Saving Society UK pays Brevia Consulting to act as the group's secretariat
             
            From : 13/09/2018
            To  : 12/09/2019","16,501-18,000",13/09/2018,19/12/2018
Policy Connect,All-Party Parliamentary Waterways Group,"Secretariat
             
            From : 18/07/2018
            To  : 17/07/2019","9,001-10,500",18/07/2018,18/07/2017
What Works Centre for Wellbeing,All-Party Parliamentary Grop on Wellbeing Economics,"Secretariat
             
            From : 18/12/2018
            To  : 17/12/2019","4,501-6,000",18/12/2018,21/12/2018
West Coast Rail 250 Campaign,West Coast Main Line All-Party Parliamentary Group,"Secretariat
             
            From : 19/07/2018
            To  : 18/07/2019","1,501-3,000",19/07/2018,23/07/2018
Connect,All-Party Parliamentary Group for the West Midlands,"Connect is paid by the following to act as the group's secretariat: City Redi (The University of Birmingham), Barratt Developments, WMG (Warwick University).
             
            From : 18/07/2018
            To  : 17/07/2019","19,501-21,000",18/07/2018,15/11/2018
WhistleblowersUK,All-Party Parliamentary Group on Whistleblowing,"WhistleblowersUK is paid by Constantine Cannon LLP to act as the group's secretariat
             
            From : 10/07/2018
            To  : 09/07/2019","13,501-15,000",10/07/2018,08/08/2018
White Ribbon UK,All-Party Parliamentary Group for White Ribbon UK,"Secretariat
             
            From : 18/07/2018
            To  : 17/07/2019","3,001-4,500",18/07/2018,18/12/2018
Wine & Spirit Trade Association,All-Party Parliamentary group on Wine and Spirits,"Secretariat
             
            From : 17/07/2018
            To  : 16/07/2019","3,001-4,500",17/07/2018,05/11/2018
Dell Corporation Limited,Women and Enterprise All-Party Parliamentary Group,"Secretariat services are provided by Hume Brophy Communications on behalf of Dell Corporation Limited
             
            From : 18/07/2018
            To  : 17/07/2019","34,501-36,000",18/07/2018,08/11/2018
Connect,Women and Work All-Party Parliamentary Group,"Connect is paid by the following to act as the group's secretariat: IPSE, Shaw Trust, Natwest, Centrica, University of Sussex, Young Women's Trust, Recruitment & Employment Confederation.
             
            From : 19/07/2018
            To  : 18/07/2019","34,501-36,000",19/07/2018,06/11/2018
Lloyds Banking Group,All-Party Parliamentary Group on Women in Parliament,Function held on 20/12/2017,"4,501-6,000",20/12/2017,11/01/2018
Howard League for Penal Reform,All-Party Parliamentary Group for Women in the Penal System,"Secretariat
             
            From : 05/07/2018
            To  : 04/07/2019","3,001-4,500",05/07/2018,02/11/2018
Women in Transport,All-Party Parliamentary Group for Women in Transport,"Women in Transport are assisted by JFG Communications to act as the group's secretariat
             
            From : 12/09/2017
            To  : 11/09/2018","13,501-15,000",12/09/2017,13/12/2017
Gender Action for Peace and Security,"All-Party Parliamentary Group on Women, Peace and Security","Secretariat
             
            From : 10/07/2018
            To  : 09/07/2019","4,501-6,000",10/07/2018,17/10/2018
PB Consulting,All-Party Parliamentary Group on Women's Health,"PB Consulting is paid by Gedeon Richter and Boston Scientific to act as the group's secretariat.
             
            From : 11/07/2017
            To  : 10/07/2018","19,501-21,000",11/07/2017,13/07/2017
PB Consulting,All-Party Parliamentary Group on Women's Health,PB Consulting was paid by Boston Scientific and MSD to organise a conference held on 22/03/2018,"28,501-30,000",22/03/2018,04/04/2018
GK Strategy,All-Party Parliamentary Group on Working at Height,"Secretariat
             
            From : 17/10/2017
            To  : 16/10/2018","46,501-48,000",17/10/2017,13/11/2017
Authors Licensing and Collecting Society,All-Party Parliamentary Writers Group,Reception held on 27/06/2018,"3,001-4,500",27/06/2018,29/06/2018
Yoga Health Care Alliance,All-Party Parliamentary Group on Yoga in Society,"Secretariat
             
            From : 22/03/2018
            To  : 21/03/2019","4,501-6,000",22/03/2018,03/04/2018
Muscular Dystrophy UK,All-Party Parliamentary Group for Young Disabled People,"Secretariat
             
            From : 12/07/2018
            To  : 11/07/2019","3,001-4,500",12/07/2018,03/07/2018
Association for Young People's Health,All-Party Parliamentary Group on Young People's Health,"Secretariat
             
            From : 14/11/2017
            To  : 13/11/2018","4,501-6,000",14/11/2017,16/11/2017
YMCA England & Wales,All-Party Parliamentary Group on Youth Affairs,"Joint Secretariat
             
            From : 02/11/2017
            To  : 01/11/2018","1,501-3,000",02/11/2017,17/11/2017
British Youth Council,All-Party Parliamentary Group on Youth Affairs,"Joint Secretariat
             
            From : 02/11/2017
            To  : 01/11/2018","1,501-3,000",02/11/2017,17/11/2017
Youth Employment UK,All-Party Parliamentary Group on Youth Employment,"Secretariat
             
            From : 13/09/2018
            To  : 12/09/2019","4,501-6,000",13/09/2018,09/11/2018
